Pack List,Item,Pick date,Pick From,Outlets,Total Outlets Need,From Storage,Additional,Planned Pick,Actual Pick,Pick by Variety,Unit,Pick Instruction,Assignee,Labor Time (hr)
Wednesday 29/12/2021,"(חסה) סלנובה
Full-Size",29/12/2021,"Lettuce, hyd. סלנובה
Hyd. N > NE > Bed 2
22 of 68
Lettuce, hyd. סלנובה
Hyd. S > SE > Bed 19
19 of 68
Lettuce, hyd. סלנובה אדומה
Hyd. S > SE > Bed 19
18 of 68",Online Store: 15,15,0,0,15,15,,cs,,נטע ברוג,0
Wednesday 29/12/2021,"צנונית
Full-Size",29/12/2021,"Radishes, French Breakfast
Ra.1 > L1 > Bed 113
11 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 311
13 of 26
Radishes, ice candle
Ra.3 > R1 > Bed 313
12 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 313
10 of 26
Radishes, ice candle
Ra.3 > R2 > Bed 325
9 of 26
Radishes, AZ-506 sisi
Ra.3 > R2 > Bed 325
8 of 26",Online Store: 17,17,0,0,17,17,,bn,"8 פרנץ ברקפסט
8 עגולה
1 לבנה",נטע ברוג,0
Wednesday 29/12/2021,"בייבי נפרדים
Full-Size",29/12/2021,,Online Store: 2,2,0,0,2,5,חרדל Red Giant: 5,cs,חרדל,נטע ברוג,0
Wednesday 29/12/2021,תבלין - מרווה,29/12/2021,,Online Store: 4,4,0,0,4,4,,bn,+1 שיבא,נטע ברוג,0
Wednesday 29/12/2021,"מנגולד
Full-Size",29/12/2021,"Chard, מונופולי - ראש (שדה)
Ra.1 > L1 > Bed 116
2 of 14
Chard, מונופולי - ראש (שדה)
Ra.2 > C6m > Beds 205-206
3 of 14",Online Store: 5,5,0,0,5,5,,bn,,נטע ברוג,0
Wednesday 29/12/2021,"(ירק) עירית
Full-Size",29/12/2021,"Chives, Common
Ra.2 > C6m > Bed 204
2 of 3",Online Store: 6,6,0,0,6,8,,bn,עירית בצלית!!!!!,נטע ברוג,0
Wednesday 29/12/2021,"תבלין - נענע
Full-Size",29/12/2021,,Online Store: 7,7,0,0,7,7,,bn,,נטע ברוג,0
Wednesday 29/12/2021,"שומר
Full-Size",29/12/2021,"Fennel, Orion
Ra.2 > C1 > Beds 214-215
10 of 10",Online Store: 8,8,0,0,8,4.2,,kg,,נטע ברוג,0
Monday 27/12/2021,"קייל
Full-Size",27/12/2021,"Kale, Scarlet
HH > B > Beds 10-12
2 of 4
Kale, Lacinato (Dinosaur)
HH > B > Beds 8-9
1 of 4
Kale, Lacinato (Dinosaur)
Zvika > zA > Beds 501-502
6 of 11",חנות הגינה: 10,10,0,0,10,8,,bn,,נטע ברוג,0
Monday 27/12/2021,"צנונית
Full-Size",27/12/2021,"Radishes, French Breakfast
Ra.1 > L1 > Bed 113
11 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 311
13 of 26
Radishes, ice candle
Ra.3 > R1 > Bed 313
12 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 313
10 of 26
Radishes, ice candle
Ra.3 > R2 > Bed 325
9 of 26
Radishes, AZ-506 sisi
Ra.3 > R2 > Bed 325
8 of 26",חנות הגינה: 10,10,0,0,10,27,,bn,"מכל הסוגים
נא לא לערבב בין הזנים בצרורות",נטע ברוג,0
Monday 27/12/2021,תבלין - מרווה,27/12/2021,,חנות הגינה: 10,10,0,0,10,10,,bn,בשפע עבור פוג'ות,נטע ברוג,0
Monday 27/12/2021,"(חסה) סלנובה
Full-Size",27/12/2021,"Lettuce, hyd. סלנובה
Hyd. S > SE > Bed 19
19 of 68
Lettuce, hyd. סלנובה אדומה
Hyd. S > SE > Bed 19
18 of 68",חנות הגינה: 12,12,0,0,12,12,,cs,,נטע ברוג,0
Monday 27/12/2021,"סלרי
Full-Size",27/12/2021,"Celery, hyd. Giant Dorato
Hyd. S > SW > Bed 27
2 of 12",חנות הגינה: 12,12,0,0,12,12,,bn,,נטע ברוג,0
Monday 27/12/2021,"(ירק) בצל ירוק
Full-Size",27/12/2021,"Onions: Scallions, hyd. Aldorado
Hyd. N > NW > Bed 15
3 of 13
Onions: Scallions, hyd. Aldorado
Hyd. S > SW > Bed 30
2 of 13",חנות הגינה: 12,12,0,0,12,12,,bn,,נטע ברוג,0
Monday 27/12/2021,"(חסה) אייסברג
Full-Size",27/12/2021,"Lettuce, hyd. אייסברג
Hyd. S > SE > Bed 21
14 of 68",חנות הגינה: 15,15,0,0,15,15,,hd,,נטע ברוג,0
Monday 27/12/2021,"גרגר הנחלים
Full-Size",27/12/2021,"Cress, hyd. גרגר הנחלים
Hyd. N > NW > Bed 14
1 of 5",חנות הגינה: 2,2,0,0,2,4,,cs,,נטע ברוג,0
Monday 27/12/2021,"תבלין - אזוב
Full-Size",27/12/2021,,חנות הגינה: 2,2,0,0,2,2,,bn,אזוב,נטע ברוג,0
Monday 27/12/2021,"בייבי מיקס
Full-Size",27/12/2021,"Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R1 > Bed 314
4 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 320
7 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 328
5 of 38",חנות הגינה: 20,20,0,0,20,20,,cs,,נטע ברוג,0
Monday 27/12/2021,"(חסה) רומית
Full-Size",27/12/2021,"Lettuce, hyd. רומית
Hyd. N > NE > Bed 1
17 of 68",חנות הגינה: 25,25,0,0,25,25,,hd,,נטע ברוג,0
Monday 27/12/2021,"(ירק) פטרוזיליה
Full-Size",27/12/2021,"Parsley, hyd. Borjo
Hyd. N > NW > Bed 13
3 of 8
Parsley, hyd. Borjo
Hyd. N > NW > Bed 9
2 of 8
Parsley, בורג'ו - נטע
Ra.2 > C2 > Beds 225-228
11 of 11",חנות הגינה: 30,30,0,0,30,30,,bn,,נטע ברוג,0
Monday 27/12/2021,"מנגולד
Full-Size",27/12/2021,"Chard, מונופולי - ראש (שדה)
Ra.1 > L1 > Bed 116
2 of 14
Chard, מונופולי - ראש (שדה)
Ra.2 > C6m > Beds 205-206
3 of 14",חנות הגינה: 5,5,0,0,5,6,,bn,,נטע ברוג,0
Monday 27/12/2021,"תבלין - נענע
Full-Size",27/12/2021,"Mint, Common Mint
Ra.3 > R6m > Bed 301
",חנות הגינה: 5,5,0,0,5,5,,bn,,נטע ברוג,0
Monday 27/12/2021,כרישה,27/12/2021,"Leeks, hyd. Alto
Hyd. N > NW > Bed 11
4 of 5
Leeks, Alto
Ra.2 > C2 > Beds 221-222
5 of 5
Leeks, Alto
Zvika > zB > Beds 523-524
1 of 5",חנות הגינה: 7,7,0,0,7,8,,bn,,נטע ברוג,0
Monday 27/12/2021,"בייבי - רוקט
Baby Leaf",27/12/2021,"Arugula, Arugula
Ra.3 > R1 > Bed 315
6 of 26",חנות הגינה: 8,8,0,0,8,8,,bn,,נטע ברוג,0
Monday 27/12/2021,"סלק
Full-Size Root",27/12/2021,"Beets, Ventu - כדורי F1 נטע
Ra.1 > L1 > Beds 111-112
1 of 9
Beets, Ventu - כדורי F1 נטע
Ra.1 > L2 > Beds 125-126
4 of 9",חנות הגינה: 8,8,0,0,8,8,,bn,,נטע ברוג,0
Thursday 23/12/2021,"סלרי
Full-Size",23/12/2021,"Celery, hyd. Giant Dorato
Hyd. S > SW > Bed 27
2 of 12",חנות הגינה: 10,10,0,0,10,10,,bn,,נטע ברוג,0
Thursday 23/12/2021,"מנגולד
Full-Size",23/12/2021,"Chard, מונופולי - ראש (שדה)
Ra.1 > L1 > Bed 116
2 of 14
Chard, מונופולי - ראש (שדה)
Ra.2 > C6m > Beds 205-206
3 of 14",חנות הגינה: 10,10,0,0,10,10,,bn,,נטע ברוג,0
Thursday 23/12/2021,"קייל
Full-Size",23/12/2021,"Kale, Scarlet
HH > B > Beds 10-12
2 of 4
Kale, Lacinato (Dinosaur)
HH > B > Beds 8-9
1 of 4
Kale, Lacinato (Dinosaur)
Zvika > zA > Beds 501-502
6 of 11",חנות הגינה: 10,10,0,0,10,10,,bn,,נטע ברוג,0
Thursday 23/12/2021,"צנונית
Full-Size",23/12/2021,"Radishes, French Breakfast
Ra.1 > L1 > Bed 113
11 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 311
13 of 26
Radishes, ice candle
Ra.3 > R1 > Bed 313
12 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 313
10 of 26
Radishes, ice candle
Ra.3 > R2 > Bed 325
9 of 26
Radishes, AZ-506 sisi
Ra.3 > R2 > Bed 325
8 of 26","חנות הגינה: 10,
Online Store: 5",15,0,0,15,15,,bn,מיקס,נטע ברוג,0
Thursday 23/12/2021,"(ירק) בצל ירוק
Full-Size",23/12/2021,"Onions: Scallions, hyd. Aldorado
Hyd. N > NW > Bed 15
3 of 13
Onions: Scallions, hyd. Aldorado
Hyd. S > SW > Bed 30
2 of 13",חנות הגינה: 15,25,0,0,25,25,,bn,,נטע ברוג,0
Thursday 23/12/2021,"(חסה) אייסברג
Full-Size",23/12/2021,"Lettuce, hyd. אייסברג
Hyd. S > SE > Bed 21
14 of 68",חנות הגינה: 15,30,0,0,30,30,,hd,,נטע ברוג,0
Thursday 23/12/2021,כרישה,23/12/2021,"Leeks, hyd. Alto
Hyd. N > NW > Bed 11
4 of 5
Leeks, Alto
Ra.2 > C2 > Beds 221-222
5 of 5
Leeks, Alto
Zvika > zB > Beds 523-524
1 of 5",חנות הגינה: 15,20,0,0,20,21,,bn,,נטע ברוג,0
Thursday 23/12/2021,"(חסה) סלנובה
Full-Size",23/12/2021,"Lettuce, hyd. סלנובה
Hyd. S > SE > Bed 19
19 of 68
Lettuce, hyd. סלנובה אדומה
Hyd. S > SE > Bed 19
18 of 68",חנות הגינה: 15,15,0,0,15,17,,cs,,נטע ברוג,0
Thursday 23/12/2021,"תבלין - אזוב
Full-Size",23/12/2021,,חנות הגינה: 2,2,0,0,2,2,,bn,אזוב,נטע ברוג,0
Thursday 23/12/2021,תבלין - מרווה,23/12/2021,,חנות הגינה: 2,2,0,0,2,2,,bn,,נטע ברוג,0
Thursday 23/12/2021,תרד ניוזילנדי,23/12/2021,,חנות הגינה: 2.8,6.8,0,0,6.8,7.5,,kg,,נטע ברוג,0
Thursday 23/12/2021,"(ירק) פטרוזיליה
Full-Size",23/12/2021,"Parsley, hyd. Borjo
Hyd. N > NW > Bed 13
3 of 8
Parsley, hyd. Borjo
Hyd. N > NW > Bed 9
2 of 8
Parsley, בורג'ו - נטע
Ra.2 > C2 > Beds 225-228
11 of 11",חנות הגינה: 20,20,0,0,20,21,,bn,,נטע ברוג,0
Thursday 23/12/2021,"קולרבי
Full-Size",23/12/2021,"Kohlrabi, Konmar
Zvika > zA > Beds 503-504
1 of 6",חנות הגינה: 3,3,0,0,3,3,,kg,,נטע ברוג,0
Thursday 23/12/2021,"(חסה) רומית
Full-Size",23/12/2021,"Lettuce, hyd. רומית
Hyd. N > NE > Bed 1
17 of 68",חנות הגינה: 30,30,0,0,30,26,,hd,,נטע ברוג,0
Thursday 23/12/2021,"בייבי מיקס
Full-Size",23/12/2021,"Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R1 > Bed 314
4 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 320
7 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 328
5 of 38","חנות הגינה: 30,
Online Store: 20",50,0,0,50,50,,cs,,נטע ברוג,0
Thursday 23/12/2021,"תבלין - נענע
Full-Size",23/12/2021,,חנות הגינה: 5,5,0,0,5,5,,bn,,נטע ברוג,0
Thursday 23/12/2021,"בייבי נפרדים
Full-Size",23/12/2021,,חנות הגינה: 6,6,0,0,6,6,חרדל Red Giant: 6,cs,חרדל,נטע ברוג,0
Thursday 23/12/2021,"סלק
Full-Size Root",23/12/2021,"Beets, Ventu - כדורי F1 נטע
Ra.1 > L1 > Beds 111-112
1 of 9
Beets, Ventu - כדורי F1 נטע
Ra.1 > L2 > Beds 125-126
4 of 9",חנות הגינה: 6,6,0,0,6,6,,bn,,נטע ברוג,0
Thursday 23/12/2021,"(ירק) עירית
Full-Size",23/12/2021,"Chives, hyd. common
Hyd. N > NE > Bed 5
3 of 3
Chives, Common
Ra.2 > C6m > Bed 204
2 of 3",חנות הגינה: 8,8,0,0,8,8,,bn,,נטע ברוג,0
Thursday 23/12/2021,"בייבי - רוקט
Baby Leaf",23/12/2021,"Arugula, Arugula
Ra.3 > R1 > Bed 315
6 of 26
Arugula, Arugula
Ra.3 > R2 > Bed 319
8 of 26",חנות הגינה: 8,8,0,0,8,16,,bn,,נטע ברוג,0
Thursday 23/12/2021,"שומר
Full-Size",23/12/2021,"Fennel, Orion
Ra.2 > C1 > Beds 214-215
10 of 10",חנות הגינה: 8,8,0,0,8,8.8,,kg,,נטע ברוג,0
Thursday 23/12/2021,"כרוב
Full-Size",23/12/2021,"Cabbage, ירוק
Zvika > zA > Beds 512-513
1 of 8",חנות הגינה: 9,9,0,0,9,9.5,,kg,,נטע ברוג,0
Wednesday 22/12/2021,"(ירק) עירית
Full-Size",22/12/2021,"Chives, hyd. common
Hyd. N > NE > Bed 5
3 of 3
Chives, Common
Ra.2 > C6m > Bed 204
2 of 3",Online Store: 1,1,0,0,1,2,,bn,שומית,נטע ברוג,0
Wednesday 22/12/2021,"תבלין - אזוב
Full-Size",22/12/2021,,Online Store: 1,1,0,0,1,1,,bn,אזוב,נטע ברוג,0
Wednesday 22/12/2021,"(חסה) סלנובה
Full-Size",22/12/2021,"Lettuce, hyd. סלנובה
Hyd. S > SE > Bed 19
19 of 68
Lettuce, hyd. סלנובה אדומה
Hyd. S > SE > Bed 19
18 of 68",Online Store: 10,10,0,0,10,10,,cs,זוגות אדום וירוק,נטע ברוג,0
Wednesday 22/12/2021,"שומר
Full-Size",22/12/2021,"Fennel, Orion
Ra.2 > C1 > Beds 214-215
10 of 10",Online Store: 10,10,0,0,10,10,,kg,,נטע ברוג,0
Wednesday 22/12/2021,"צנונית
Full-Size",22/12/2021,"Radishes, French Breakfast
Ra.1 > L1 > Bed 113
11 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 311
13 of 26
Radishes, ice candle
Ra.3 > R1 > Bed 313
12 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 313
10 of 26
Radishes, ice candle
Ra.3 > R2 > Bed 325
9 of 26
Radishes, AZ-506 sisi
Ra.3 > R2 > Bed 325
8 of 26",Online Store: 17,17,0,0,17,25,,bn,"8 פרנץ' ברקפסט
3 צנונית לבנה
6 צנונית",נטע ברוג,0
Wednesday 22/12/2021,"מנגולד
Full-Size",22/12/2021,"Chard, מונופולי - ראש (שדה)
Ra.1 > L1 > Bed 116
2 of 14
Chard, מונופולי - ראש (שדה)
Ra.2 > C6m > Beds 205-206
3 of 14",Online Store: 2,2,0,0,2,2,,bn,מנגולד ראש,נטע ברוג,0
Wednesday 22/12/2021,תבלין - מרווה,22/12/2021,"Sage, Common
Ra.1 > L1 > Bed 109
",Online Store: 2,2,0,0,2,2,,bn,,נטע ברוג,0
Wednesday 22/12/2021,"בייבי מיקס
Full-Size",22/12/2021,"Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R1 > Bed 314
4 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 320
7 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 328
5 of 38",Online Store: 5,5,0,0,5,5,,cs,,נטע ברוג,0
Wednesday 22/12/2021,"בייבי נפרדים
Full-Size",22/12/2021,,Online Store: 5,5,0,0,5,5,חרדל Red Giant: 5,cs,חרדל,נטע ברוג,0
Wednesday 22/12/2021,"(חסה) אייסברג
Full-Size",22/12/2021,"Lettuce, hyd. אייסברג
Hyd. S > SE > Bed 21
14 of 68",Online Store: 6,6,0,0,6,6,,hd,,נטע ברוג,0
Wednesday 22/12/2021,"(ירק) בצל ירוק
Full-Size",22/12/2021,"Onions: Scallions, hyd. Aldorado
Hyd. N > NW > Bed 15
3 of 13
Onions: Scallions, hyd. Aldorado
Hyd. S > SW > Bed 30
2 of 13",Online Store: 7,7,0,0,7,7,,bn,,נטע ברוג,0
Wednesday 22/12/2021,"תבלין - נענע
Full-Size",22/12/2021,,Online Store: 8,8,0,0,8,8,,bn,,נטע ברוג,0
Monday 20/12/2021,"מנגולד
Full-Size",20/12/2021,"Chard, מונופולי - ראש (שדה)
Ra.1 > L1 > Bed 116
2 of 14
Chard, מונופולי - ראש (שדה)
Ra.2 > C6m > Beds 205-206
3 of 14",חנות הגינה: 10,10,0,0,10,10,,bn,,נטע ברוג,0
Monday 20/12/2021,"קייל
Full-Size",20/12/2021,"Kale, Lacinato (Dinosaur)
HH > B > Beds 8-9
1 of 4
Kale, Lacinato (Dinosaur)
Zvika > zA > Beds 501-502
6 of 11",חנות הגינה: 10,10,0,0,10,10,,bn,,נטע ברוג,0
Monday 20/12/2021,כרישה,20/12/2021,"Leeks, hyd. Alto
Hyd. N > NW > Bed 11
4 of 5
Leeks, Alto
Ra.2 > C2 > Beds 221-222
5 of 5
Leeks, Alto
Zvika > zB > Beds 523-524
1 of 5",חנות הגינה: 10,10,0,0,10,10,,bn,,נטע ברוג,0
Monday 20/12/2021,"צנונית
Full-Size",20/12/2021,"Radishes, French Breakfast
Ra.1 > L1 > Bed 113
11 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 311
13 of 26
Radishes, ice candle
Ra.3 > R1 > Bed 313
12 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 313
10 of 26
Radishes, ice candle
Ra.3 > R2 > Bed 325
9 of 26
Radishes, AZ-506 sisi
Ra.3 > R2 > Bed 325
8 of 26",חנות הגינה: 10,10,0,0,10,10,,bn,לקטוף סלקטיבי בהתאם לגודל,נטע ברוג,0
Monday 20/12/2021,"(חסה) אייסברג
Full-Size",20/12/2021,"Lettuce, hyd. אייסברג
Hyd. S > SE > Bed 21
14 of 68",חנות הגינה: 12,12,0,0,12,12,,hd,,נטע ברוג,0
Monday 20/12/2021,"(חסה) סלנובה
Full-Size",20/12/2021,"Lettuce, hyd. סלנובה
Hyd. S > SE > Bed 19
19 of 68
Lettuce, hyd. סלנובה אדומה
Hyd. S > SE > Bed 19
18 of 68",חנות הגינה: 12,12,0,0,12,12,,cs,,נטע ברוג,0
Monday 20/12/2021,"(ירק) בצל ירוק
Full-Size",20/12/2021,"Onions: Scallions, hyd. Aldorado
Hyd. N > NW > Bed 15
3 of 13
Onions: Scallions, hyd. Aldorado
Hyd. S > SW > Bed 30
2 of 13",חנות הגינה: 12,12,0,0,12,12,,bn,,נטע ברוג,0
Monday 20/12/2021,"בייבי - רוקט
Baby Leaf",20/12/2021,"Arugula, Arugula
Ra.3 > R1 > Bed 315
6 of 26
Arugula, Wild Rocket
Ra.3 > R1 > Bed 316
5 of 26
Arugula, Arugula
Ra.3 > R2 > Bed 319
8 of 26
Arugula, Arugula
Ra.3 > R3 > Bed 331
4 of 26",חנות הגינה: 12,12,0,0,12,27,,bn,,נטע ברוג,0
Monday 20/12/2021,"סלרי
Full-Size",20/12/2021,"Celery, hyd. Giant Dorato
Hyd. N > NE > Bed 8
1 of 12",חנות הגינה: 15,15,0,0,15,15,,bn,,נטע ברוג,0
Monday 20/12/2021,"תבלין - אזוב
Full-Size",20/12/2021,,חנות הגינה: 2,2,0,0,2,2,,bn,"1 אזוב
1 טימין
שלוש צרורות מיקס אזוב+מרווה+שיבה",נטע ברוג,0
Monday 20/12/2021,תבלין - מרווה,20/12/2021,"Sage, Common
Ra.1 > L1 > Bed 109
",חנות הגינה: 2,2,0,0,2,2,,bn,,נטע ברוג,0
Monday 20/12/2021,תרד ניוזילנדי,20/12/2021,,חנות הגינה: 2.5,2.5,0,0,2.5,5.5,,kg,,נטע ברוג,0
Monday 20/12/2021,"(ירק) פטרוזיליה
Full-Size",20/12/2021,"Parsley, hyd. Borjo
Hyd. N > NW > Bed 13
3 of 8
Parsley, hyd. Borjo
Hyd. N > NW > Bed 9
2 of 8
Parsley, בורג'ו - נטע
Ra.2 > C2 > Beds 225-228
11 of 11",חנות הגינה: 28,28,0,0,28,28,,bn,,נטע ברוג,0
Monday 20/12/2021,"(חסה) רומית
Full-Size",20/12/2021,"Lettuce, hyd. רומית
Hyd. N > NE > Bed 1
17 of 68
Lettuce, hyd. רומית
Hyd. S > SE > Bed 20
13 of 68",חנות הגינה: 30,30,0,0,30,30,,hd,,נטע ברוג,0
Monday 20/12/2021,"בייבי מיקס
Full-Size",20/12/2021,"Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R1 > Bed 314
4 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 320
7 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 328
5 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R3 > Bed 334
2 of 38",חנות הגינה: 5,5,0,0,5,5,,kg,ֿלקטוף צעיר ויפה בלבד,נטע ברוג,0
Monday 20/12/2021,"תבלין - נענע
Full-Size",20/12/2021,,חנות הגינה: 5,5,0,0,5,5,,bn,,נטע ברוג,0
Monday 20/12/2021,"בייבי נפרדים
Full-Size",20/12/2021,,חנות הגינה: 6,6,0,0,6,6,חרדל Red Giant: 6,cs,חרדל,נטע ברוג,0
Monday 20/12/2021,"שומר
Full-Size",20/12/2021,"Fennel, Orion
Ra.2 > C1 > Beds 214-215
10 of 10",חנות הגינה: 6,6,0,0,6,7.5,,kg,,נטע ברוג,0
Monday 20/12/2021,"(ירק) עירית
Full-Size",20/12/2021,"Chives, hyd. common
Hyd. N > NE > Bed 5
3 of 3
Chives, Common
Ra.2 > C6m > Bed 204
2 of 3",חנות הגינה: 8,8,0,0,8,8,,bn,,נטע ברוג,0
Monday 20/12/2021,"כרוב
Full-Size",20/12/2021,"Cabbage, ירוק
Zvika > zA > Beds 512-513
1 of 8",חנות הגינה: 8,8,0,0,8,7,,kg,,נטע ברוג,0
