Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date
Home,HH,,C,16,,"Garlic, Hardneck, שני - מהגינה, Scapes",Garlic,08/10/2020,18/03/2021,"Basil, Sweet Thai, Full-Size",Basil,01/04/2021,23/10/2021,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,"Rhubarb, Crimson Red",Rhubarb,10/11/2021,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,17,,"Garlic, Hardneck, שני - מהגינה, Scapes",Garlic,08/10/2020,18/03/2021,"Spinach, Aurora Mountain Red, Full-Size",Spinach,25/03/2021,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,18,,"Garlic, Hardneck, שני - מהגינה, Scapes",Garlic,08/10/2020,18/03/2021,"Spinach, Aurora Mountain Red, Full-Size",Spinach,25/03/2021,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SW-4""(50)",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SW-4""(50)",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,1,,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,10/06/2021,25/10/2021,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,12/08/2021,14/11/2021,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,06/10/2021,27/11/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,10/11/2021,29/12/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,23/11/2021,28/01/2022,"Lettuce, Oakleaf, hyd.  טוקיו בקנה, Full-Size",Lettuce,16/12/2021,15/03/2022,,,,,,,,,,,,
Hydro,Hyd. N,,NE,2,,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,10/06/2021,25/10/2021,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,23/09/2021,18/11/2021,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,23/11/2021,02/02/2022,"Lettuce, Oakleaf, hyd. Bronze Arrow, Full-Size",Lettuce,01/12/2021,12/05/2022,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,3,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,03/08/2021,21/09/2021,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,23/09/2021,17/11/2021,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,23/11/2021,02/02/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,4,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,23/09/2021,12/11/2021,"Lettuce, Butterhead, hyd. חמאה אדומה, Full-Size",Lettuce,08/12/2021,14/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,5,,"Chives, hyd. common, Full-Size",Chives,18/02/2021,29/12/2021,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,21/10/2021,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,6,,"Celery, hyd. ספרטקוס, Full-Size",Celery,25/08/2021,18/11/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,08/12/2021,12/02/2022,"Celery, hyd. Early Bell, Full-Size",Celery,16/12/2021,20/06/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,7,,"Celery, hyd. ספרטקוס, Full-Size",Celery,25/08/2021,18/11/2021,"Celery, hyd. Early Bell, Full-Size",Celery,26/09/2021,04/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,8,,"Celery, hyd. Giant Dorato, Full-Size",Celery,03/06/2021,24/12/2021,"Celery, hyd. Early Bell, Full-Size",Celery,26/09/2021,04/05/2022,"Celery, hyd. Giant Dorato, Full-Size",Celery,23/11/2021,08/03/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,9,,"Basil, hyd. Prospera, Full-Size",Basil,31/05/2021,02/09/2021,"Parsley, hyd. Borjo, Full-Size",Parsley,14/09/2021,30/12/2021,"Celery, hyd. Early Bell, Full-Size",Celery,02/11/2021,16/05/2022,"Celery, hyd. Giant Dorato, Full-Size",Celery,23/11/2021,08/03/2022,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,10,,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,05/05/2021,13/09/2021,"Chives, Garlic, hyd. עירית שומית, Full-Size",Chives,28/08/2021,04/02/2022,"Celery, hyd. Early Bell, Full-Size",Celery,02/11/2021,16/05/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,21/12/2021,15/04/2022,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,11,,"Leeks, hyd. Alto",Leeks,15/07/2021,30/12/2021,"Cilantro, hyd. Santoriny, Leaf",Cilantro,10/11/2021,25/12/2021,"Dill, hyd. Dukat, Full-Size",Dill,23/11/2021,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,12,,"Pac Choi (Bok Choy), Hyd. Neta, Full-Size",Pac Choi (Bok Choy),04/12/2021,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,13,,"Parsley, hyd. Borjo, Full-Size",Parsley,22/08/2021,11/04/2022,"Basil, hyd. Prospera, Full-Size",Basil,23/08/2021,27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,14,,"Cilantro, hyd. Santoriny, Leaf",Cilantro,03/06/2021,14/09/2021,"Tomatoes, Slicer, hyd. תמר, Ripe",Tomatoes,03/08/2021,30/11/2021,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,19/10/2021,05/04/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,15,,"Cilantro, hyd. Santoriny, Leaf",Cilantro,03/06/2021,14/09/2021,"Basil, hyd. Prospera, Full-Size",Basil,23/08/2021,27/10/2021,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,26/09/2021,01/02/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,21/10/2021,06/03/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,16/12/2021,15/05/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,30/12/2021,01/04/2022,,,,,,,,,,,,
Hydro,Hyd. S,,SE,1,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,25/08/2021,20/10/2021,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,19/10/2021,16/12/2021,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,15/12/2021,08/03/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,2,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,25/08/2021,20/10/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,06/10/2021,12/12/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,19/10/2021,15/12/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,15/12/2021,11/03/2022,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,3,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,11/08/2021,11/10/2021,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,09/09/2021,17/12/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,06/10/2021,12/12/2021,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,15/12/2021,07/03/2022,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,4,,"Lettuce, Red Leaf, Generic Variety, Full-Size",Lettuce,25/08/2021,16/10/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,25/08/2021,20/10/2021,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,09/09/2021,17/12/2021,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,10/11/2021,06/01/2022,"Lettuce, Butterhead, hyd. סלנובה אדומה, Full-Size",Lettuce,10/11/2021,03/01/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,30/12/2021,28/03/2022,,,,,,,,,,,,
Hydro,Hyd. S,,SE,5,,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,02/09/2021,26/10/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,27/10/2021,17/12/2021,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,30/12/2021,26/03/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,6,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,02/09/2021,04/11/2021,"Lettuce, Bibb, hyd. מסולסלת, Full-Size",Lettuce,27/10/2021,20/12/2021,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,27/10/2021,30/12/2021,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,30/12/2021,28/03/2022,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,7,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,02/09/2021,04/11/2021,"Cilantro, hyd. Santoriny, Leaf",Cilantro,26/09/2021,17/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,8,,"Cilantro, hyd. Santoriny, Leaf",Cilantro,30/06/2021,08/10/2021,"Dill, hyd. Emilya, Leaf",Dill,14/07/2021,26/10/2021,"Cilantro, hyd. Santoriny, Leaf",Cilantro,26/09/2021,17/11/2021,"Cilantro, hyd. Santoriny, Leaf",Cilantro,21/10/2021,22/02/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,23/11/2021,30/03/2022,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,9,,"Parsley, hyd. Borjo, Full-Size",Parsley,03/06/2021,10/10/2021,"Parsley, hyd. Borjo, Full-Size",Parsley,10/08/2021,30/10/2021,"Parsley, hyd. Borjo, Full-Size",Parsley,08/12/2021,05/06/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,10,,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,19/10/2021,12/12/2021,"Lovage, hyd. Lovage, Full-Size",Lovage,27/10/2021,14/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,11,,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,30/06/2021,16/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,12,,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,30/06/2021,16/12/2021,"Celery, hyd. Giant Dorato, Full-Size",Celery,10/11/2021,07/02/2022,"Basil, hyd. Prospera, Full-Size",Basil,20/12/2021,28/07/2022,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,13,,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,30/06/2021,16/12/2021,"Spinach, hyd. פולה f1, Full-Size",Spinach,08/12/2021,10/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,14,,"Strawberry, Day-neutral, פלס",Strawberry,14/09/2021,01/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,15,,"Onions: Scallions, hyd.  אפצ׳ה אדום, Full-Size",Onions: Scallions,23/08/2021,20/11/2021,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,25/08/2021,11/11/2021,"Strawberry, Day-neutral, פלס",Strawberry,14/09/2021,01/06/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,06/10/2021,06/01/2022,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,1,,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,18/11/2020,03/03/2021,"Radishes, Nero Tondo, Full-Size",Radishes,10/03/2021,08/07/2021,"Radishes, Daikon Long, Full-Size",Radishes,10/03/2021,04/06/2021,"Beans: Bush & Pole, Bush, Speedy, Fresh",Beans: Bush & Pole,19/07/2021,17/10/2021,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,2,,"Radishes, ice candle, Full-Size",Radishes,02/12/2020,28/01/2021,"Radishes, French Breakfast, Full-Size",Radishes,02/12/2020,13/01/2021,"Radishes, Daikon Long, Full-Size",Radishes,03/02/2021,17/02/2021,"Summer Squash, Zucchini, Nero di Milano",Summer Squash,10/02/2021,11/06/2021,"Beans: Bush & Pole, Bush, Speedy, Fresh",Beans: Bush & Pole,19/07/2021,17/10/2021,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,3,,"Parsley, בורג'ו - נטע, Full-Size",Parsley,30/07/2020,03/03/2021,"Winter Squash, mix נוי - בן שחר",Winter Squash,28/01/2021,20/06/2021,"Beans: Bush & Pole, Bush, Speedy, Fresh",Beans: Bush & Pole,19/07/2021,17/10/2021,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,4,,"Leeks, Alto",Leeks,27/10/2020,03/03/2021,"Winter Squash, mix נוי - בן שחר",Winter Squash,28/01/2021,20/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,5,,"Leeks, Alto",Leeks,27/10/2020,03/03/2021,"Winter Squash, mix נוי - בן שחר",Winter Squash,28/01/2021,20/06/2021,"Lovage, Lovage, Full-Size",Lovage,27/10/2021,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,6,,"Leeks, Alto",Leeks,02/12/2020,01/04/2021,"Beans: Bush & Pole, Bush, Speedy, Fresh",Beans: Bush & Pole,14/04/2021,07/07/2021,"Lovage, Lovage, Full-Size",Lovage,27/10/2021,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,7,,"Leeks, Alto",Leeks,02/12/2020,01/04/2021,"Beans: Bush & Pole, Bush, Speedy, Fresh",Beans: Bush & Pole,14/04/2021,07/07/2021,"Lovage, Lovage, Full-Size",Lovage,27/10/2021,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,8,,"Leeks, Alto",Leeks,02/12/2020,01/04/2021,"Summer Squash, Zucchini, Alberrllo DI Sarzana",Summer Squash,12/02/2021,07/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,9,,"Tarragon, שיבה, Full-Size",Tarragon,17/07/2018,,"Sage, Common",Sage,17/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,10,,"Cress, Watercress, Full-Size",Cress,02/12/2020,17/03/2021,"Onions: Scallions, Red Bunching, Full-Size",Onions: Scallions,07/12/2020,25/02/2021,"Summer Squash, Zucchini, Striata D'Italia",Summer Squash,17/02/2021,09/06/2021,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,08/09/2021,22/01/2022,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,11,,"Carrots, Nantes Half Long, Full-Size",Carrots,24/09/2020,25/02/2021,"Summer Squash, Specialty, Round Zucchini",Summer Squash,28/01/2021,05/06/2021,"Beets, Ventu - כדורי F1 נטע, Full-Size Root",Beets,23/09/2021,02/12/2021,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,12,,"Carrots, Nantes Half Long, Full-Size",Carrots,24/09/2020,25/02/2021,"Summer Squash, Specialty, Round Zucchini",Summer Squash,28/01/2021,05/06/2021,"Beets, Ventu - כדורי F1 נטע, Full-Size Root",Beets,23/09/2021,02/12/2021,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,13,,"Celery, Gigante Dorato, Full-Size",Celery,30/09/2020,09/03/2021,"Tomatoes, Cherry, ליקופן - מורשת, Ripe",Tomatoes,28/01/2021,03/08/2021,"Tomatoes, Slicer, תמר, Ripe",Tomatoes,03/08/2021,09/12/2021,"Radishes, French Breakfast, Full-Size",Radishes,10/11/2021,12/01/2022,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,14,,"Dill, אמליה, Leaf",Dill,05/11/2020,11/01/2021,"Beets, Forono - מוערך נטע, Full-Size Root",Beets,25/11/2020,02/05/2021,"Fennel, Orion, Full-Size",Fennel,09/12/2020,24/05/2021,"Tomatoes, Slicer, תמר, Ripe",Tomatoes,03/08/2021,09/12/2021,"Chard, מונופולי - ראש (שדה), Full-Size",Chard,07/10/2021,12/04/2022,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,15,,"Parsley Root, Generic Variety",Parsley Root,02/12/2020,21/01/2021,"Fennel, Orion, Full-Size",Fennel,09/12/2020,24/05/2021,"Tomatoes, Slicer, תמר, Ripe",Tomatoes,03/08/2021,09/12/2021,"Chard, מונופולי - ראש (שדה), Full-Size",Chard,07/10/2021,12/04/2022,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,16,,"Turnips, lodigiana לבן שטוח, Full-Size",Turnips,18/11/2020,28/02/2021,"Radishes, Nero Tondo, Full-Size",Radishes,18/11/2020,09/03/2021,"Tomatoes, Cherry, ליקופן - מורשת, Ripe",Tomatoes,28/01/2021,03/08/2021,"Chard, מונופולי - ראש (שדה), Full-Size",Chard,09/09/2021,04/01/2022,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,17,,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,14/10/2020,18/02/2021,"Tomatoes, Slicer, Bull's Heart - מורשת יעל, Green",Tomatoes,18/01/2021,03/08/2021,"Peas, Snow, Norli, Full-Size",Peas,08/09/2021,02/04/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,18,,"Parsley, בורג'ו - נטע, Full-Size",Parsley,20/07/2020,12/03/2021,"Tomatoes, Cherry, ניצן, Ripe",Tomatoes,24/03/2021,25/08/2021,"Peas, Snow, Norli, Full-Size",Peas,08/09/2021,02/04/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,19,,"Parsley, בורג'ו - נטע, Full-Size",Parsley,13/08/2020,25/02/2021,"Tomatoes, Cherry, ניצן, Ripe",Tomatoes,24/03/2021,25/08/2021,"Peas, Snow, Norli, Full-Size",Peas,08/09/2021,02/04/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,20,,"Fennel, Orion, Full-Size",Fennel,23/11/2020,29/03/2021,"Tomatoes, Slicer, Marmande - מורשת יעל, Ripe",Tomatoes,18/02/2021,20/08/2021,"Peas, Snow, Norli, Full-Size",Peas,08/09/2021,02/04/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,21,,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,09/12/2020,22/04/2021,"Eggplant, Asian, Fairy Tale",Eggplant,10/03/2021,27/11/2021,"Carrots, Nantes Half Long, Full-Size",Carrots,28/12/2021,14/08/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,22,,"Beets, Generic Variety, Full-Size Root",Beets,02/11/2020,06/05/2021,"Eggplant, Asian, Asian Delight",Eggplant,10/03/2021,27/11/2021,"Carrots, Nantes Half Long, Full-Size",Carrots,28/12/2021,14/08/2022,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,23,,"Carrots, Nantes Half Long, Full-Size",Carrots,18/11/2020,02/05/2021,"Tomatoes, Cherry, Black Cherry, Ripe",Tomatoes,04/03/2021,15/08/2021,"Carrots, Nantes Half Long, Full-Size",Carrots,28/12/2021,14/08/2022,,,,,,,,,,,,,,,,,,,,,,,,
