Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
Celery,hyd. Giant Dorato,Full-Size,189.00 ea,,
Celery,hyd. ספרטקוס,Full-Size,47.00 ea,,
Chard,,Full-Size,226.50 hd,"1,053.50 hd",933.50 hd
Chard,Bright Lights,Full-Size,52.50 hd,,
Chard,Fordhook Giant,Full-Size,17.00 hd,,
Chard,hyd. מונופולי - ראש,Full-Size,108.00 hd,,
Chard,Silverado,Full-Size,5.00 hd,,
Chard,מונופולי - ראש (שדה),Full-Size,8.00 hd,,
Chives,,Full-Size,335.00 bn,458.00 bn,473.00 bn
Chives,Common,Full-Size,80.00 bn,,
Chives,Garlic Geisha,Full-Size,57.00 bn,,
Chives,hyd. common,Full-Size,198.00 bn,,
Cilantro,,Leaf,507.00 bn,241.00 bn,251.00 bn
Cilantro,hyd. Santoriny,Leaf,300.00 bn,,
Cilantro,Santirini - נטע,Leaf,187.00 bn,,
Cilantro,,Plant Sale,100.00 pl,,
Cilantro,Generic Variety,Plant Sale,100.00 pl,,
Cress,,Full-Size,147.70 cs,111.00 cs,111.00 cs
Cress,Watercress,Full-Size,45.70 cs,,
Cucumbers,,,51.80 kg,84.00 kg,81.00 kg
Cucumbers,Facus - פאקוס,,18.00 kg,,
Cucumbers,Facus - פאקוס ירוק,,33.80 kg,,
Dill,,Leaf,292.00 bn,143.00 bn,167.00 bn
Dill,hyd. Emilya,Leaf,75.00 bn,,
Dill,אמליה,Leaf,87.00 bn,,
Dill,,Plant Sale,350.00 pl,,
Dill,Generic Variety,Plant Sale,50.00 pl,,
Dill,hyd. Emilya,Plant Sale,300.00 pl,,
Eggplant,,,339.64 kg,124.00 kg,139.00 kg
Eggplant,Asian Delight,,11.60 kg,,
Eggplant,Fairy Tale,,9.70 kg,,
Eggplant,Long Purple,,12.70 kg,,
Eggplant,Meatball,,184.80 kg,,
Eggplant,Ping Tung Long,,20.70 kg,,
Eggplant,בלאדי - יעל,,42.90 kg,,
Fennel,,Full-Size,133.00 kg,224.00 kg,240.00 kg
Fennel,hyd. Orion,Full-Size,1.00 kg,,
Fennel,Orion,Full-Size,113.20 kg,,
Garlic,,Bulb,"2,384.85 ea",0.00 ea,10.00 ea
Garlic,שני - מהגינה,Bulb,"2,354.85 ea",,
Garlic,,Scapes,70.00 bn,,
Garlic,שני - מהגינה,Scapes,70.00 bn,,
Jicama,,,43.20 kg,26.00 kg,26.00 kg
Jicama,Itay,,32.00 kg,,
Kale,,Baby Leaf,48.64 cs,31.64 cs,31.64 cs
Kale,Red Russian,Baby Leaf,33.64 cs,,
Kale,,Full-Size,464.99 bn,"1,036.00 bn",904.00 bn
Kale,Lacinato (Dinosaur),Full-Size,257.33 bn,,
Kale,Scarlet,Full-Size,11.33 bn,,
Kale,גומן,Full-Size,20.33 bn,,
Kohlrabi,,Full-Size,67.40 kg,182.00 kg,186.00 kg
Kohlrabi,Generic Variety,Full-Size,18.10 kg,,
Kohlrabi,Konmar,Full-Size,8.50 kg,,
Kohlrabi,קרף - נטע,Full-Size,20.80 kg,,
Leeks,,,270.50 bn,179.00 bn,174.00 bn
Leeks,Alto,,237.50 bn,,
Leeks,hyd. Alto,,12.00 bn,,
Lettuce,,Full-Size,"3,472.01 hd","4,243.00 hd","3,963.00 hd"
Lettuce,936 רומית,Full-Size,27.00 hd,,
Lettuce,Bionda Degli Ortolani,Full-Size,55.00 hd,,
Lettuce,Generic Variety,Full-Size,62.00 hd,,
Lettuce,hyd.  טוקיו בקנה,Full-Size,10.00 hd,,
Lettuce,hyd. Bronze Arrow,Full-Size,10.00 hd,,
Lettuce,hyd. Parella - חמאה אדומה,Full-Size,10.00 hd,,
Lettuce,hyd. אייסברג,Full-Size,129.67 hd,,
Lettuce,hyd. בייבי גאם,Full-Size,15.00 hd,,
Lettuce,hyd. חמאה אדומה,Full-Size,111.00 hd,,
Lettuce,hyd. לולה,Full-Size,1.00 hd,,
Lettuce,hyd. מסולסלת,Full-Size,195.00 hd,,
Lettuce,hyd. סלנובה,Full-Size,217.00 hd,,
Lettuce,hyd. סלנובה אדומה,Full-Size,56.00 hd,,
Lettuce,hyd. ערבית - נהורה נטע,Full-Size,311.00 hd,,
Lettuce,hyd. פלנדריה - חמאה,Full-Size,178.00 hd,,
Lettuce,hyd. רומית,Full-Size,"1,125.00 hd",,
Lettuce,Iceberg,Full-Size,16.67 hd,,
Lettuce,IceBerg - לימור,Full-Size,254.67 hd,,
Lettuce,May queen - Regina di Maggio,Full-Size,16.00 hd,,
Lettuce,Samba - אדומה,Full-Size,100.00 hd,,
Lettuce,מסולסלת מעורב,Full-Size,82.00 hd,,
Lettuce,ערבית - רם שחר,Full-Size,5.00 hd,,
Lettuce,ערבית צהובת עלים,Full-Size,100.00 hd,,
Lettuce,ראש חמאה,Full-Size,9.00 hd,,
Lettuce,,Plant Sale,160.00 pl,,
Lettuce,Generic Variety,Plant Sale,160.00 pl,,
Lettuce: Salad Mix,,Full-Size,483.78 kg,486.84 kg,452.64 kg
Lettuce: Salad Mix,Mesclun Mix,Full-Size,220.53 kg,,
Lettuce: Salad Mix,Nussly,Full-Size,4.14 kg,,
Lettuce: Salad Mix,Salanova® Foundation Collection,Full-Size,7.50 kg,,
Lettuce: Salad Mix,Salanova® Home Garden Mix,Full-Size,187.18 kg,,
Lettuce: Salad Mix,חרדל Red Giant,Full-Size,11.60 kg,,
Lettuce: Salad Mix,מיזונה מיקס,Full-Size,1.36 kg,,
Lettuce: Salad Mix,נטע מיקס - Luna Nera+Cavalo,Full-Size,50.37 kg,,
Mint,,Full-Size,408.00 bn,480.00 bn,518.00 bn
Mint,Common Mint,Full-Size,54.00 bn,,
Mint,Doublemint,Full-Size,7.00 bn,,
Mizuna,,Baby Leaf,18.73 kg,10.00 kg,11.00 kg
Mizuna,mix red&green,Baby Leaf,13.55 kg,,
Mustard,,Baby Leaf,101.75 cs,166.00 cs,166.00 cs
Mustard,Red Giant,Baby Leaf,85.75 cs,,
New Zealand Spinach,,,130.90 kg,224.30 kg,240.30 kg
New Zealand Spinach,Tetragonia Specialty,,105.30 kg,,
Okra,,,63.07 kg,13.00 kg,13.00 kg
Okra,Kandahar Pendi,,63.07 kg,,
Onions: Scallions,,Full-Size,840.00 bn,"1,614.00 bn","1,489.00 bn"
Onions: Scallions,hyd.  אפצ׳ה אדום,Full-Size,25.00 bn,,
Onions: Scallions,hyd. Aldorado,Full-Size,667.00 bn,,
Onions: Scallions,Red Bunching,Full-Size,34.00 bn,,
Onions: Scallions,Summer Time,Full-Size,114.00 bn,,
Onions: Scallions,,Plant Sale,300.00 pl,,
Onions: Scallions,hyd. Aldorado,Plant Sale,300.00 pl,,
Parsley,,Full-Size,633.00 bn,"1,366.00 bn","1,296.00 bn"
Parsley,Green Perle - מסולסלת,Full-Size,2.00 bn,,
Parsley,hyd. Borjo,Full-Size,161.00 bn,,
Parsley,בורג'ו - נטע,Full-Size,266.00 bn,,
Parsley,,Plant Sale,450.00 pl,,
Parsley,Green Perle - מסולסלת,Plant Sale,300.00 pl,,
Parsley,hyd. Borjo,Plant Sale,150.00 pl,,
Parsley Root,,,92.00 bn,,
Parsley Root,Hilmar,,92.00 bn,,
Peas,,Full-Size,243.75 cs,27.00 cs,27.00 cs
Peas,Generic Variety,Full-Size,11.30 cs,,
Peas,Norli,Full-Size,2.50 cs,,
Peas,Sugar Snap,Full-Size,72.90 cs,,
Peas,Taccola gigante,Full-Size,34.40 cs,,
Peas,Yellow Sugar,Full-Size,30.55 cs,,
Peas,ורדה,Full-Size,92.10 cs,,
Peas,,Plant Sale,550.00 pl,,
Peas,Norli,Plant Sale,300.00 pl,,
Peas,ורדה,Plant Sale,250.00 pl,,
Peppers,,Early,45.05 kg,,
Peppers,Sweet Bite,Early,45.05 kg,,
Peppers,,Plant Sale,20.00 pl,,
Peppers,Thai Hot,Plant Sale,20.00 pl,,
Peppers,,Ripe,236.35 kg,23.00 kg,42.00 kg
Peppers,Thai Red Chili,Ripe,15.90 kg,,
Peppers,אלטר - לפיד,Ripe,29.45 kg,,
Peppers,ברק,Ripe,32.50 kg,,
Peppers,וולטה - מוארך,Ripe,158.50 kg,,
Radishes,,Full-Size,426.01 bn,670.00 bn,621.00 bn
Radishes,AZ-506 sisi,Full-Size,59.67 bn,,
Radishes,Daikon Long,Full-Size,20.50 bn,,
Radishes,French Breakfast,Full-Size,142.67 bn,,
Radishes,Generic Variety,Full-Size,6.00 bn,,
Radishes,ice candle,Full-Size,80.67 bn,,
Radishes,Nero Tondo,Full-Size,51.50 bn,,
Radishes,צנון אדום - נטע,Full-Size,1.50 bn,,
Radishes,צנון לבן z1015,Full-Size,20.50 bn,,
Radishes,,Microgreen,245.00 cs,,
Radishes,sakora - נבטים,Microgreen,245.00 cs,,
Sage,,,181.00 bn,119.00 bn,130.00 bn
Sage,Common,,40.00 bn,,
Sorrel,,Baby Leaf,112.33 cs,47.33 cs,47.33 cs
Sorrel,Generic Variety,Baby Leaf,11.67 cs,,
Sorrel,Red Veined,Baby Leaf,13.33 cs,,
Soybeans,,Fresh Shelling,5.13 kg,32.00 kg,32.00 kg
Soybeans,סויה אלמוג,Fresh Shelling,5.13 kg,,
Spinach,,Full-Size,63.05 kg,27.00 kg,27.00 kg
Spinach,Regata ריגאטה,Full-Size,42.35 kg,,
Strawberry,,,0.70 kg,,
Strawberry,פלס,,0.70 kg,,
Summer Squash,,,201.50 kg,106.00 kg,230.00 kg
Summer Squash,Alberrllo DI Sarzana,,11.40 kg,,
Summer Squash,Golden Patty Pan Organic,,41.50 kg,,
Summer Squash,Nero di Milano,,9.40 kg,,
Summer Squash,Round Zucchini,,45.60 kg,,
Summer Squash,Striata D'Italia,,15.00 kg,,
Summer Squash,ברכה,,54.30 kg,,
Summer Squash,יומנה,,20.80 kg,,
Summer Squash,פסים - נטע,,3.50 kg,,
Sweet Pea,,Plant Sale,100.00 pl,,
Sweet Pea,Generic Variety,Plant Sale,100.00 pl,,
Tarragon,,Full-Size,24.00 bn,,
Tarragon,שיבה,Full-Size,24.00 bn,,
Tatsoi,,Baby Leaf,5.60 kg,8.50 kg,8.50 kg
Tatsoi,Tatsoi,Baby Leaf,2.60 kg,,
Thyme,,Full-Size,36.00 bn,,
Thyme,Generic Variety,Full-Size,36.00 bn,,
Tomatoes,,Green,9.00 kg,,
Tomatoes,Bull's Heart - מורשת יעל,Green,9.00 kg,,
Tomatoes,,Ripe,315.70 kg,18.00 kg,33.00 kg
Tomatoes,Black Cherry,Ripe,11.00 kg,,
Tomatoes,Bull's Heart - מורשת יעל,Ripe,8.10 kg,,
Tomatoes,Cuore Di Bue,Ripe,5.80 kg,,
Tomatoes,hyd. תמר,Ripe,6.90 kg,,
Tomatoes,Lobelo - חישתיל מורכב,Ripe,97.00 kg,,
Tomatoes,Lobelo - לובלו,Ripe,6.40 kg,,
Tomatoes,Marmande - מורשת יעל,Ripe,80.30 kg,,
Tomatoes,ליקופן - מורשת,Ripe,66.60 kg,,
Tomatoes,ניצן,Ripe,30.10 kg,,
Tomatoes,שרי אדום גדול - יעל,Ripe,1.00 kg,,
Tomatoes,תמר,Ripe,0.50 kg,,
Turmeric,,,138.50 kg,,
Turmeric,Elad,,138.50 kg,,
Turnips,,Full-Size,44.00 bn,25.00 bn,25.00 bn
Turnips,Generic Variety,Full-Size,35.00 bn,,
Turnips,lodigiana לבן שטוח,Full-Size,9.00 bn,,
Winter Squash,,,468.50 kg,175.00 kg,236.00 kg
Winter Squash,Atlas,,51.20 kg,,
Winter Squash,Autumn Frost,,11.00 kg,,
Winter Squash,Burpee's Bush Table Queen,,1.00 kg,,
Winter Squash,Gialla Quintale,,40.00 kg,,
Winter Squash,Lunga Di Napoli,,26.00 kg,,
Winter Squash,mix נוי - בן שחר,,60.00 kg,,
Winter Squash,Red Kuri,,24.70 kg,,
Winter Squash,Table Queen,,34.00 kg,,
Winter Squash,trombetta d'albenga,,2.00 kg,,
Winter Squash,אמורו,,5.80 kg,,
Winter Squash,פרובנס,,34.00 kg,,
