Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
Spinach,Generic Variety,Full-Size,100.00 bn,,
Spinach,Giant Winter,Full-Size,26.00 bn,,
Summer Squash,,,103.30 kg,,
Summer Squash,Anton,,23.00 kg,,
Summer Squash,Goldy,,80.30 kg,,
Sunflower,,Microgreen,60.00 cs,,
Sunflower,Generic Variety,Microgreen,60.00 cs,,
Tarragon,,Full-Size,10.00 bn,,
Tarragon,שיבה,Full-Size,10.00 bn,,
Tatsoi,,Baby Leaf,1.50 kg,,
Tatsoi,Generic Variety,Baby Leaf,1.50 kg,,
Tomatoes,,Ripe,160.80 kg,,
Tomatoes,Big Beef,Ripe,38.30 kg,,
Tomatoes,Galila - מסיימת,Ripe,81.00 kg,,
Tomatoes,Generic Variety,Ripe,1.00 kg,,
Tomatoes,Red Pear,Ripe,16.50 kg,,
Tomatoes,Red Pearl,Ripe,4.50 kg,,
Tomatoes,Whitny - וויטני,Ripe,19.50 kg,,
Turnips,,Full-Size,28.00 bn,,
Turnips,lodigiana לבן שטוח,Full-Size,28.00 bn,,
Winter Squash,,,195.00 kg,,
Winter Squash,Generic Variety,,102.00 kg,,
Winter Squash,Mini Red Kabocha,,40.00 kg,,
Winter Squash,Table Queen,,53.00 kg,,
