Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date
Home,HH,,C,13,,"Peas, Shelling, Tall Telephone, Full-Size",Peas,18/10/2018,18/04/2019,"Basil, Genovese, Full-Size",Basil,20/03/2019,28/06/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,20/06/2019,12/09/2019,"Lettuce: Salad Mix, Salanova® Foundation Collection, Full-Size",Lettuce: Salad Mix,05/10/2019,16/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,14,,"Carrots, Nantes Half Long, Full-Size",Carrots,04/11/2018,18/04/2019,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,29/04/2019,06/06/2019,"Radishes, French Breakfast, Full-Size",Radishes,06/05/2019,06/06/2019,"Lettuce: Salad Mix, Generic Variety, Full-Size",Lettuce: Salad Mix,24/06/2019,26/08/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,07/08/2019,25/09/2019,"Cress, Garden Broadleaf, Full-Size",Cress,02/10/2019,21/11/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,02/10/2019,24/10/2019,"Arugula, Arugula, Baby Leaf",Arugula,30/10/2019,06/01/2020,"Cress, Watercress, Full-Size",Cress,28/11/2019,10/02/2020,,,,,,,,,,,,,,,,
Home,HH,,C,15,,"Peas, Shelling, Tall Telephone, Full-Size",Peas,18/10/2018,18/04/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,24/04/2019,08/08/2019,"Arugula, Arugula, Baby Leaf",Arugula,06/05/2019,18/08/2019,"Summer Squash, Zucchini, Anton",Summer Squash,29/05/2019,10/09/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,18/07/2019,01/10/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,02/10/2019,06/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,16,,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,01/01/2019,16/05/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,28/03/2019,06/06/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,16/09/2019,22/10/2019,"Lettuce: Salad Mix, נטע מיקס - Luna Nera+Cavalo, Full-Size",Lettuce: Salad Mix,27/10/2019,27/11/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,28/11/2019,09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,17,,"Cress, Garden Broadleaf, Full-Size",Cress,28/03/2019,13/05/2019,"Tatsoi, Generic Variety, Baby Leaf",Tatsoi,28/03/2019,09/06/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,15/04/2019,25/07/2019,"Lettuce: Salad Mix, Generic Variety, Full-Size",Lettuce: Salad Mix,16/05/2019,27/06/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,29/07/2019,26/10/2019,"Arugula, Wild Rocket, Baby Leaf",Arugula,29/07/2019,26/10/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,16/09/2019,22/10/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,28/10/2019,09/03/2020,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,18,,"Peas, Shelling, Tall Telephone, Full-Size",Peas,18/12/2018,18/04/2019,"Amaranth (Vegetable), Generic Variety, Full-Size",Amaranth (Vegetable),20/02/2019,10/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SW-4""(50)",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SW-4""(50)",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,1,,"Chard, Bright Lights, Full-Size",Chard,01/11/2018,29/04/2019,"Radishes, Nero Tondo, Full-Size",Radishes,01/05/2019,11/07/2019,"Radishes, Daikon Long, Full-Size",Radishes,01/05/2019,11/07/2019,"Arugula, Arugula, Baby Leaf",Arugula,12/08/2019,30/09/2019,"Parsley, Generic Variety, Full-Size",Parsley,02/10/2019,31/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,2,,"Arugula, Arugula, Baby Leaf",Arugula,03/04/2019,01/08/2019,"Mizuna, Generic Variety, Baby Leaf",Mizuna,12/08/2019,09/10/2019,"Parsley, Generic Variety, Full-Size",Parsley,17/10/2019,06/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,3,,"Arugula, Arugula, Baby Leaf",Arugula,13/11/2018,09/03/2019,"Lettuce: Salad Mix, Encore Lettuce Mix, Full-Size",Lettuce: Salad Mix,03/04/2019,06/06/2019,"Kale, Red Russian, Baby Leaf",Kale,19/06/2019,12/08/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,12/08/2019,13/10/2019,"Radishes, French Breakfast, Full-Size",Radishes,28/08/2019,10/10/2019,"Radishes, Daikon Long, Full-Size",Radishes,16/10/2019,13/01/2020,"Radishes, Nero Tondo, Full-Size",Radishes,16/10/2019,13/01/2020,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),02/12/2019,01/03/2020,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,4,,"Lettuce: Salad Mix, Sativa L. 1836, Full-Size",Lettuce: Salad Mix,14/11/2018,18/04/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,18/02/2019,08/09/2019,"Chives, Generic Variety, Full-Size",Chives,20/03/2019,06/10/2019,"Radishes, French Breakfast, Full-Size",Radishes,15/05/2019,28/06/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,16/10/2019,29/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,5,,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,14/11/2018,21/11/2019,"Arugula, Wild Rocket, Baby Leaf",Arugula,04/12/2019,23/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,6,,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,19/02/2019,29/04/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,08/05/2019,13/07/2019,"Chives, Generic Variety, Full-Size",Chives,22/05/2019,02/12/2019,"Radishes, French Breakfast, Full-Size",Radishes,24/10/2019,02/12/2019,"Cress, Watercress, Full-Size",Cress,04/12/2019,25/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,7,,"Parsley Root, Generic Variety",Parsley Root,19/02/2019,11/07/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,12/08/2019,18/11/2019,"Radishes, French Breakfast, Full-Size",Radishes,04/12/2019,25/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,8,,"Mizuna, Generic Variety, Baby Leaf",Mizuna,27/02/2019,13/05/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,15/05/2019,12/08/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,12/08/2019,11/09/2019,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),15/08/2019,07/11/2019,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),28/08/2019,28/11/2019,"Dill, Generic Variety, Leaf",Dill,11/12/2019,20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,9,,"Tarragon, שיבה, Full-Size",Tarragon,17/07/2018,,"Sage, Common",Sage,17/07/2018,,"Anise Hyssop, אזוב מצוי, Full-Size",Anise Hyssop,17/07/2018,01/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,10,,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,27/09/2018,18/04/2019,"Parsley Root, Generic Variety",Parsley Root,13/01/2019,27/06/2019,"Radishes, French Breakfast, Full-Size",Radishes,01/05/2019,13/06/2019,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,22/05/2019,23/08/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,01/08/2019,24/10/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,25/10/2019,20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,11,,"Peas, Shelling, Kelvedon Wonder, Full-Size",Peas,10/01/2019,29/04/2019,"Beans: Bush & Pole, Pole, 1500 Year Old Cave, Fresh",Beans: Bush & Pole,25/04/2019,06/08/2019,"Beans: Bush & Pole, Bush, California Black Eyed, Fresh",Beans: Bush & Pole,24/06/2019,24/10/2019,"Mizuna, Generic Variety, Baby Leaf",Mizuna,25/10/2019,16/01/2020,"Kale, Red Russian, Baby Leaf",Kale,25/10/2019,16/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,12,,"Kale, Red Russian, Baby Leaf",Kale,21/11/2018,29/04/2019,"Lettuce: Salad Mix, Sativa L. 1836, Full-Size",Lettuce: Salad Mix,21/11/2018,22/04/2019,"Mizuna, Generic Variety, Baby Leaf",Mizuna,10/01/2019,18/04/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,24/02/2019,30/05/2019,"Parsley, Generic Variety, Full-Size",Parsley,24/02/2019,02/12/2019,"Cilantro, Coriander Leisure, Leaf",Cilantro,16/05/2019,29/06/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,06/11/2019,01/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,13,,"Lettuce: Salad Mix, Sativa L. 1836, Full-Size",Lettuce: Salad Mix,19/02/2019,29/04/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,19/02/2019,27/06/2019,"Peppers, Hot, Thai Red Chili, Ripe",Peppers,10/04/2019,11/11/2019,"Basil, Generic Variety, Full-Size",Basil,05/06/2019,27/10/2019,"Lettuce: Salad Mix, נטע מיקס - Luna Nera+Cavalo, Full-Size",Lettuce: Salad Mix,14/11/2019,11/12/2019,"Peas, Snow, Taccola gigante, Full-Size",Peas,12/12/2019,07/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,14,,"Carrots, Nantes Half Long, Full-Size",Carrots,10/12/2018,30/05/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,19/06/2019,19/09/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,26/08/2019,18/12/2019,"Parsley, בורג'ו - נטע, Full-Size",Parsley,06/11/2019,22/07/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,15,,"Lettuce: Salad Mix, Generic Variety, Full-Size",Lettuce: Salad Mix,10/12/2018,22/04/2019,"Mizuna, Generic Variety, Baby Leaf",Mizuna,10/12/2018,04/04/2019,"Mustard, Generic Variety, Full-Size",Mustard,10/12/2018,29/04/2019,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,01/05/2019,11/07/2019,"Parsley, Generic Variety, Full-Size",Parsley,05/06/2019,20/01/2020,"Dill, Generic Variety, Leaf",Dill,26/08/2019,05/12/2019,"Radishes, French Breakfast, Full-Size",Radishes,16/10/2019,28/11/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,02/12/2019,01/04/2020,"Lettuce: Salad Mix, נטע מיקס - Luna Nera+Cavalo, Full-Size",Lettuce: Salad Mix,18/12/2019,02/04/2020,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,16,,"Dill, Generic Variety, Full-Size",Dill,27/11/2018,22/04/2019,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,01/12/2018,29/04/2019,"Eggplant, European, Little Sailor",Eggplant,17/01/2019,11/11/2019,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,13/11/2019,03/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,17,,"Eggplant, European, Meatball",Eggplant,25/02/2019,12/11/2019,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,13/11/2019,22/03/2020,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,16/12/2019,06/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,18,,"Dill, Generic Variety, Full-Size",Dill,27/11/2018,22/04/2019,"Parsley Root, Generic Variety",Parsley Root,10/12/2018,27/06/2019,"Turnips, lodigiana לבן שטוח, Full-Size",Turnips,10/12/2018,03/05/2019,"Lettuce, Red Leaf, Firecracker, Full-Size",Lettuce,15/05/2019,27/06/2019,"Tatsoi, Generic Variety, Baby Leaf",Tatsoi,15/05/2019,28/07/2019,"Mizuna, Generic Variety, Baby Leaf",Mizuna,16/05/2019,04/08/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,12/06/2019,23/12/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,20/06/2019,06/10/2019,"Dill, Generic Variety, Leaf",Dill,04/07/2019,01/10/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,01/08/2019,13/01/2020,"Radishes, French Breakfast, Full-Size",Radishes,08/08/2019,16/09/2019,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,17/10/2019,13/01/2020,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,02/12/2019,06/04/2020
Ramim,Ra.1,,L1,19,,"Cilantro, Santirini - נטע, Leaf",Cilantro,13/12/2018,02/05/2019,"Eggplant, European, Meatball",Eggplant,15/04/2019,28/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,20,,"Carrots, Nantes Half Long, Full-Size",Carrots,13/01/2019,01/07/2019,"Dill, Generic Variety, Leaf",Dill,04/07/2019,01/10/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,15/07/2019,30/10/2019,"Parsley, Generic Variety, Full-Size",Parsley,12/08/2019,30/10/2019,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,31/10/2019,20/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
