Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date
Ramim,Ra.1,,L6m,1,,"Parsley, Generic Variety, Full-Size",Parsley,02/10/2019,31/03/2020,"Beans: Bush & Pole, Bush, Speedy, Fresh",Beans: Bush & Pole,17/04/2020,12/07/2020,"Radishes, AB 708, Full-Size",Radishes,30/07/2020,10/09/2020,"Cilantro, Generic Variety, Leaf",Cilantro,17/09/2020,16/11/2020,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,18/11/2020,03/03/2021,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,2,,"Parsley, Generic Variety, Full-Size",Parsley,17/10/2019,06/04/2020,"Beans: Bush & Pole, Bush, Speedy, Fresh",Beans: Bush & Pole,17/04/2020,12/07/2020,"Dill, Dukat, Full-Size",Dill,30/07/2020,26/10/2020,"Dill, אמליה, Leaf",Dill,24/09/2020,21/11/2020,"Radishes, ice candle, Full-Size",Radishes,02/12/2020,28/01/2021,"Radishes, French Breakfast, Full-Size",Radishes,02/12/2020,13/01/2021,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,3,,"Radishes, Daikon Long, Full-Size",Radishes,16/10/2019,13/01/2020,"Radishes, Nero Tondo, Full-Size",Radishes,16/10/2019,13/01/2020,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),02/12/2019,01/03/2020,"Parsley, Green Perle - מסולסלת, Full-Size",Parsley,08/01/2020,08/06/2020,"Radishes, Saxa, Full-Size",Radishes,11/06/2020,22/07/2020,"Parsley, בורג'ו - נטע, Full-Size",Parsley,30/07/2020,03/03/2021,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,4,,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),06/01/2020,21/02/2020,"Radishes, Saxa, Full-Size",Radishes,27/01/2020,23/03/2020,"Onions: Scallions, אלדורדו, Full-Size",Onions: Scallions,30/01/2020,12/06/2020,"Basil, Violetto aromatico, Full-Size",Basil,20/05/2020,25/09/2020,"Leeks, Alto",Leeks,27/10/2020,03/03/2021,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,5,,"Arugula, Wild Rocket, Baby Leaf",Arugula,04/12/2019,23/02/2020,"Parsley Root, Generic Variety",Parsley Root,05/02/2020,20/05/2020,"Basil, Dwarf Greek, Full-Size",Basil,12/03/2020,25/09/2020,"Leeks, Alto",Leeks,27/10/2020,03/03/2021,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,6,,"Mizuna, Generic Variety, Baby Leaf",Mizuna,06/01/2020,02/04/2020,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,13/04/2020,02/07/2020,"Radishes, נטע אדומה, Full-Size",Radishes,17/04/2020,04/06/2020,"Winter Squash, סיציליאני - נוי",Winter Squash,26/06/2020,18/11/2020,"Leeks, Alto",Leeks,02/12/2020,01/04/2021,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L6m,7,,"Radishes, French Breakfast, Full-Size",Radishes,04/12/2019,25/01/2020,"Beets, Generic Variety, Baby Leaf Greens",Beets,22/01/2020,13/04/2020,"Beans: Bush & Pole, Pole, Purple King, Fresh",Beans: Bush & Pole,20/04/2020,08/07/2020,"Radishes, נטע אדומה, Full-Size",Radishes,20/04/2020,11/06/2020,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,30/04/2020,06/07/2020,"Winter Squash, סיציליאני - נוי",Winter Squash,26/06/2020,18/11/2020,"Leeks, Alto",Leeks,02/12/2020,01/04/2021,,,,,,,,,,,,
Ramim,Ra.1,,L6m,8,,"Dill, Generic Variety, Leaf",Dill,11/12/2019,20/04/2020,"Beans: Bush & Pole, Pole, Purple King, Fresh",Beans: Bush & Pole,20/04/2020,08/07/2020,"Radishes, נטע אדומה, Full-Size",Radishes,20/04/2020,11/06/2020,"Winter Squash, סיציליאני - נוי",Winter Squash,26/06/2020,18/11/2020,"Leeks, Alto",Leeks,02/12/2020,01/04/2021,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,9,,"Tarragon, שיבה, Full-Size",Tarragon,17/07/2018,,"Sage, Common",Sage,17/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,10,,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,25/10/2019,20/04/2020,"Beets, Generic Variety, Full-Size Root",Beets,20/04/2020,09/07/2020,"Arugula, Arugula, Baby Leaf",Arugula,28/05/2020,23/07/2020,"Celery, Generic Variety, Full-Size",Celery,23/07/2020,02/12/2020,"Radishes, Generic Variety, Full-Size",Radishes,15/10/2020,02/12/2020,"Cress, Watercress, Full-Size",Cress,02/12/2020,17/03/2021,"Onions: Scallions, Red Bunching, Full-Size",Onions: Scallions,07/12/2020,25/02/2021,,,,,,,,,,,,
Ramim,Ra.1,,L1,11,,"Mizuna, Generic Variety, Baby Leaf",Mizuna,25/10/2019,16/01/2020,"Kale, Red Russian, Baby Leaf",Kale,25/10/2019,16/01/2020,"Sorrel, Red Veined, Baby Leaf",Sorrel,08/01/2020,10/06/2020,"Arugula, Wild Rocket, Baby Leaf",Arugula,22/01/2020,16/04/2020,"Lettuce: Salad Mix, Chicory, Full-Size",Lettuce: Salad Mix,26/02/2020,10/06/2020,"Peppers, Bell, Macabi, Early",Peppers,13/04/2020,21/09/2020,"Tomatoes, Cherry, Lobelo - לובלו, Ripe",Tomatoes,20/04/2020,21/09/2020,"Carrots, Nantes Half Long, Full-Size",Carrots,24/09/2020,25/02/2021,,,,,,,,
Ramim,Ra.1,,L1,12,,"Cilantro, Santirini - נטע, Leaf",Cilantro,06/11/2019,01/04/2020,"Basil, Generic Variety, Full-Size",Basil,01/04/2020,11/06/2020,"Tomatoes, Cherry, Lobelo - לובלו, Ripe",Tomatoes,20/04/2020,21/09/2020,"Carrots, Nantes Half Long, Full-Size",Carrots,24/09/2020,25/02/2021,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,13,,"Peas, Snow, Taccola gigante, Full-Size",Peas,12/12/2019,07/05/2020,"Cilantro, Santirini - נטע, Leaf",Cilantro,13/04/2020,06/07/2020,"Dill, אמליה, Leaf",Dill,01/06/2020,29/09/2020,"Celery, Gigante Dorato, Full-Size",Celery,30/09/2020,09/03/2021,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,14,,"Parsley, בורג'ו - נטע, Full-Size",Parsley,06/11/2019,22/07/2020,"Kohlrabi, Konmar, Full-Size",Kohlrabi,23/07/2020,10/11/2020,"Parsley Root, Generic Variety",Parsley Root,29/10/2020,01/12/2020,"Dill, אמליה, Leaf",Dill,05/11/2020,11/01/2021,"Beets, Forono - מוערך נטע, Full-Size Root",Beets,25/11/2020,02/05/2021,"Fennel, Orion, Full-Size",Fennel,09/12/2020,24/05/2021,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,15,,"Parsley, Generic Variety, Full-Size",Parsley,05/06/2019,20/01/2020,"Cilantro, Santirini - נטע, Leaf",Cilantro,02/12/2019,01/04/2020,"Lettuce: Salad Mix, נטע מיקס - Luna Nera+Cavalo, Full-Size",Lettuce: Salad Mix,18/12/2019,02/04/2020,"Cilantro, Santirini - נטע, Leaf",Cilantro,26/02/2020,22/05/2020,"Dill, אמליה, Leaf",Dill,26/03/2020,05/07/2020,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,27/04/2020,13/08/2020,"Fennel, Generic Variety, Full-Size",Fennel,23/07/2020,01/12/2020,"Parsley Root, Generic Variety",Parsley Root,02/12/2020,21/01/2021,"Fennel, Orion, Full-Size",Fennel,09/12/2020,24/05/2021,,,,
Ramim,Ra.1,,L1,16,,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,13/11/2019,03/02/2020,"Turnips, lodigiana לבן שטוח, Full-Size",Turnips,05/02/2020,12/05/2020,"Radishes, Daikon Long, Full-Size",Radishes,05/02/2020,06/04/2020,"Radishes, Nero Tondo, Full-Size",Radishes,05/02/2020,04/05/2020,"Dill, אמליה, Leaf",Dill,26/03/2020,05/07/2020,"Cilantro, רימיני 77, Leaf",Cilantro,13/07/2020,16/11/2020,"Lettuce, Butterhead, Salanova - רם שחר, Full-Size",Lettuce,21/09/2020,16/11/2020,"Turnips, lodigiana לבן שטוח, Full-Size",Turnips,18/11/2020,28/02/2021,"Radishes, Nero Tondo, Full-Size",Radishes,18/11/2020,09/03/2021,,,,
Ramim,Ra.1,,L1,17,,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,13/11/2019,22/03/2020,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,16/12/2019,06/04/2020,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,05/03/2020,20/05/2020,"Chard, נפולי - ראש, Full-Size",Chard,20/04/2020,12/07/2020,"Arugula, Arugula, Baby Leaf",Arugula,16/07/2020,12/11/2020,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,14/10/2020,18/02/2021,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,18,,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,01/08/2019,13/01/2020,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,17/10/2019,13/01/2020,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,02/12/2019,06/04/2020,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,07/04/2020,20/05/2020,"Lettuce, Iceberg, מסולסלת מעורב, Full-Size",Lettuce,21/05/2020,06/07/2020,"Cilantro, רימיני 77, Leaf",Cilantro,01/06/2020,09/09/2020,"Parsley, בורג'ו - נטע, Full-Size",Parsley,20/07/2020,12/03/2021,,,,,,,,,,,,
Ramim,Ra.1,,L1,19,,"Eggplant, European, Meatball",Eggplant,15/04/2019,28/05/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,28/05/2020,15/07/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,16/07/2020,21/09/2020,"Parsley, בורג'ו - נטע, Full-Size",Parsley,13/08/2020,25/02/2021,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L1,20,,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,31/10/2019,20/01/2020,"Carrots, FLAKKEE   LONG, Full-Size",Carrots,22/01/2020,25/05/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,28/05/2020,15/07/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,16/07/2020,21/09/2020,"Lettuce, Butterhead, Salanova - רם שחר, Full-Size",Lettuce,21/09/2020,16/11/2020,"Fennel, Orion, Full-Size",Fennel,23/11/2020,29/03/2021,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,21,,"Cilantro, Generic Variety, Leaf",Cilantro,27/11/2019,15/03/2020,"Chard, Silverado, Full-Size",Chard,30/01/2020,10/06/2020,"Mustard, Red Giant, Baby Leaf",Mustard,11/06/2020,27/07/2020,"Mizuna, Generic Variety, Baby Leaf",Mizuna,11/06/2020,27/07/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,30/07/2020,23/09/2020,"Mustard, Generic Variety, Baby Leaf",Mustard,30/09/2020,08/12/2020,"Mizuna, Generic Variety, Baby Leaf",Mizuna,30/09/2020,08/12/2020,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,09/12/2020,22/04/2021,,,,,,,,
Ramim,Ra.1,,L2,22,,"Cilantro, Generic Variety, Leaf",Cilantro,17/10/2019,17/02/2020,"Parsley, Generic Variety, Full-Size",Parsley,17/10/2019,06/04/2020,"Cilantro, Santirini - נטע, Leaf",Cilantro,08/01/2020,13/04/2020,"Sorrel, Red Veined, Baby Leaf",Sorrel,12/02/2020,27/07/2020,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,14/05/2020,29/07/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,30/07/2020,23/09/2020,"Tatsoi, Generic Variety, Baby Leaf",Tatsoi,30/09/2020,08/12/2020,"Kale, Red Russian, Baby Leaf",Kale,30/09/2020,08/12/2020,"Beets, Generic Variety, Full-Size Root",Beets,02/11/2020,06/05/2021,,,,
