Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,25/02/2020,,45,24/03/2020,08/05/2020,12 bed m,"Home,HH,Block B,Beds 12",0.5,cm,8,,,,,,21120,2500,seeds/g,8.45,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,12/03/2020,,28,27/04/2020,25/05/2020,12 bed m,"Home,HH,Block B,Beds 9",0.5,cm,8,,,,,,21120,3000,seeds/g,7.04,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,18/03/2020,,,,,,,,,,1,29/03/2020,30/03/2020,,,,,,0.5,70/80cm,,,,57420,3828,seeds/g,15.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/70/80cm,₪12.00/cs,5.0 Cases,₪60.00,₪0.00/70/80cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,31/03/2020,,,,,,,,,,3,16/04/2020,19/04/2020,,,,,,0.5,70/80cm,,,,57420,3828,seeds/g,15.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/70/80cm,₪12.00/cs,5.0 Cases,₪60.00,₪0.00/70/80cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,02/04/2020,,23,18/05/2020,10/06/2020,12 bed m,"Home,HH,Block B,Beds 10",0.5,cm,8,,,,,,21120,2500,seeds/g,8.45,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,06/04/2020,,,,,,,,,,1,20/04/2020,21/04/2020,,,,,,0.5,70/80cm,,,,57420,3828,seeds/g,15.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/70/80cm,₪12.00/cs,5.0 Cases,₪60.00,₪0.00/70/80cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,13/04/2020,,97,21/05/2020,26/08/2020,12 bed m,"Ramim,Ra.2,Block C2,Beds 223",0.5,cm,8,,,,,,21120,3000,seeds/g,7.04,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,17/04/2020,,,,,,,,,,1,30/04/2020,01/05/2020,,,,,,0.5,70/80cm,,,,57420,3828,seeds/g,15.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/70/80cm,₪12.00/cs,5.0 Cases,₪60.00,₪0.00/70/80cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,22/04/2020,,,,,,,,,,3,03/05/2020,06/05/2020,,,,,,0.5,60/60cm,,,,57420,3828,seeds/g,15.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,5.0 Cases,₪60.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,27/04/2020,,,,,,,,,,3,11/05/2020,14/05/2020,,,,,,1.0,60/60cm,,,,114840,3828,seeds/g,30.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,10.0 Cases,₪120.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,04/05/2020,,,,,,,,,,0,14/05/2020,14/05/2020,,,,,,1.0,60/60cm,,,,114840,3828,seeds/g,30.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,10.0 Cases,₪120.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,11/05/2020,,,,,,,,,,3,22/05/2020,25/05/2020,,,,,,1.0,60/60cm,,,,114840,3828,seeds/g,30.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,10.0 Cases,₪120.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,14/05/2020,,,,,,,,,,3,25/05/2020,28/05/2020,,,,,,1.0,60/60cm,,,,114840,3828,seeds/g,30.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,10.0 Cases,₪120.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,25/05/2020,,,,,,,,,,2,01/06/2020,03/06/2020,,,,,,1.0,60/60cm,,,,114840,3828,seeds/g,30.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,10.0 Cases,₪120.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,28/05/2020,,24,29/06/2020,23/07/2020,10 bed m,"Ramim,Ra.1,Block L1,Beds 110",0.5,cm,8,,,,,,21120,3828,seeds/g,5.52,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,12.0 Kilograms,₪640.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,01/06/2020,,,,,,,,,,3,12/06/2020,15/06/2020,,,,,,1.0,60/60cm,,,,114840,3828,seeds/g,30.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,10.0 Cases,₪120.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,05/06/2020,,,,,,,,,,3,16/06/2020,19/06/2020,,,,,,1.0,60/60cm,,,,306240,3828,seeds/g,80.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,10.0 Cases,₪120.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Generic Variety,Greenhouse Sow,Microgreen,18/06/2020,,,,,,,,,,3,29/06/2020,02/07/2020,,,,,,2.0,60/60cm,,,,320000,2000,seeds/g,160.00,g,0.00,Organic,,,,,,,,,,Cases,10.000 cs/60/60cm,₪12.00/cs,20.0 Cases,₪240.00,₪0.00/60/60cm,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,01/07/2020,,192,03/08/2020,11/02/2021,12 bed m,"Ramim,Ra.1,Block L2,Beds 129",0.5,cm,8,,,,,,10560,3828,seeds/g,2.76,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,16/07/2020,,94,10/08/2020,12/11/2020,12 bed m,"Ramim,Ra.1,Block L1,Beds 117",0.5,cm,7,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,12.6 Kilograms,₪672.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,02/09/2020,,120,14/10/2020,11/02/2021,6 bed m,"Ramim,Ra.2,Block C6m,Beds 202",0.5,cm,8,,,,,,10560,2500,seeds/g,4.22,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,7.2 Kilograms,₪384.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,02/09/2020,,78,07/10/2020,24/12/2020,6 bed m,"Ramim,Ra.2,Block C6m,Beds 203",0.5,cm,8,,,,,,10560,2000,seeds/g,5.28,g,10.00,Organic,,,,,,,,,,Kilograms,0.000 /row m,₪8.00/cs,0.0 ,₪0.00,₪0.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,24/09/2020,,120,26/10/2020,23/02/2021,12 bed m,"Ramim,Ra.3,Block R2,Beds 328",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.000 /row m,₪8.00/cs,0.0 ,₪0.00,₪0.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,29/10/2020,,52,28/12/2020,18/02/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 316",0.5,cm,8,,,,,,21120,2500,seeds/g,8.45,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,02/12/2020,,39,11/02/2021,22/03/2021,12 bed m,"Ramim,Ra.2,Block C2,Beds 218",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,16/12/2020,,20,11/03/2021,31/03/2021,12 bed m,"Ramim,Ra.3,Block R2,Beds 324",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Herbs,Lamiaceae,Basil,Basil,Genovese,Greenhouse Sow,Full-Size,19/02/2020,,,,,,,42,01/04/2020,,50,01/05/2020,20/06/2020,12 bed m,"Ramim,Ra.1,Block L2,Beds 124",20.0,cm,4,0.84,,2,40,336,743,923,seeds/g,0.80,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,12.0 Kilograms,₪960.00,₪20.00/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Dwarf Greek,Greenhouse Sow,Full-Size,12/03/2020,53,04/05/2020,,,,,17,21/05/2020,,50,06/08/2020,25/09/2020,6 bed m,"Ramim,Ra.1,Block L6m,Beds 105",20.0,cm,2,0.76,310 cell flats,2,40,336,471,923,seeds/g,0.51,g,0.00,Organic,,0,0.0,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,3.0 Kilograms,₪160.00,₪13.33/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Generic Variety,Transplant from Purchased,Full-Size,,,,,,,,,19/03/2020,,37,27/04/2020,03/06/2020,12 bed m,"Ramim,Ra.1,Block L2,Beds 127",20.0,cm,4,,,,30,312,312,923,seeds/g,0.34,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,12.0 Kilograms,₪960.00,₪20.00/row m,Annual,,,,,הוזמן מיניב,,,,
Herbs,Lamiaceae,Basil,Basil,Generic Variety,Transplant from Purchased,Full-Size,,,,,,,,,01/04/2020,,49,23/04/2020,11/06/2020,12 bed m,"Ramim,Ra.1,Block L1,Beds 112",20.0,cm,4,,,,30,312,312,923,seeds/g,0.34,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,12.0 Kilograms,₪960.00,₪20.00/row m,Annual,,,,,שתילים רם שחר,,,,
Herbs,Lamiaceae,Basil,Basil,Genovese,Greenhouse Sow,Full-Size,20/05/2020,,,,,,,36,25/06/2020,,58,27/07/2020,23/09/2020,12 bed m,"Ramim,Ra.3,Block R1,Beds 307",20.0,cm,3,1.86,310 cell flats,2,60,576,1153,923,seeds/g,1.25,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,9.0 Kilograms,₪480.00,₪13.33/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Violetto aromatico,Greenhouse Sow,Full-Size,20/05/2020,,,,,,,36,25/06/2020,,50,06/08/2020,25/09/2020,6 bed m,"Ramim,Ra.1,Block L6m,Beds 104",30.0,cm,3,1.86,310 cell flats,2,30,156,1153,923,seeds/g,1.25,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,4.5 Kilograms,₪240.00,₪13.33/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Generic Variety,Transplant from Purchased,Full-Size,,,,,,,,,12/07/2020,,48,06/08/2020,23/09/2020,12 bed m,"Ramim,Ra.3,Block R1,Beds 308",20.0,cm,3,,,,5,189,189,923,seeds/g,0.20,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,9.0 Kilograms,₪480.00,₪13.33/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Generic Variety,Transplant from Purchased,Full-Size,,,,,,,,,26/07/2020,,84,17/08/2020,09/11/2020,24 bed m,"Ramim,Ra.3,Block R1,Beds 309-310",20.0,cm,3,,310 cell flats,,5,378,378,923,seeds/g,0.41,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,18.0 Kilograms,₪960.00,₪13.33/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Generic Variety,Transplant from Purchased,Full-Size,,,,,,,,,19/08/2020,,1,05/10/2020,06/10/2020,12 bed m,"Ramim,Ra.3,Block R3,Beds 336",20.0,cm,3,,310 cell flats,,5,126,126,923,seeds/g,0.14,g,0.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪8.00/cs,9.0 Kilograms,₪480.00,₪13.33/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,hyd. Prospera,Transplant from Purchased,Full-Size,,,,,,,,,23/08/2020,,0,08/10/2020,08/10/2020,12 bed m,,37.5,cm,6,,310 cell flats,,60,307,307,923,seeds/g,0.33,g,0.00,Organic,,,,,,,,,,Bunches,1.000 bn/row m,₪8.00/bn,72.0 Bunches,₪576.00,₪8.00/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,hyd. Prospera,Transplant from Purchased,Full-Size,,,,,,,,,25/08/2020,,0,10/10/2020,10/10/2020,199 plants,,25.0,cm,6,,310 cell flats,,60,318,318,923,seeds/g,0.34,g,0.00,Organic,,,,,,,,,,Bunches,1.000 bn/row m,₪8.00/bn,49.8 Bunches,₪398.00,₪7.99/row m,Annual,,,,,,,,,
Trees,Lauraceae,Bay,Bay,אר אציל-דפנה,Plant,,,,,,,,,,01/01/2020,,196,18/05/2022,30/11/2022,1 trees,,5.0,m,,,,,,,,,,,,,,,,,,,,,,,Cases,50.000 cs/tree,₪6.00/cs,50.0 Cases,₪300.00,₪300.00/tree,Perennial,Vigorous (Standard),,2022,0 m,,,,,
Vegetables,Fabaceae,Beans: Bush & Pole,Bush,Speedy,Direct Sow,Fresh,,,,,,,,,17/04/2020,,27,15/06/2020,12/07/2020,12 bed m,"Ramim,Ra.1,Block L6m,Beds 101-102",10.0,cm,2,,,,,,264,15,seeds/g,17.60,g,10.00,Organic,,,,,,,,,,Kilograms,2.232 kg/row m,₪10.00/cs,53.6 Kilograms,"₪1,785.67",₪74.40/row m,Annual,,,,,,Hand Seeding,,,
Vegetables,Fabaceae,Beans: Bush & Pole,Pole,NeckarGold - צהובה מטפסת נטע,Direct Sow,Fresh,,,,,,,,,20/04/2020,,40,24/06/2020,03/08/2020,12 bed m,"Ramim,Ra.3,Block R6m,Beds 303-304",5.0,cm,1,,,,,,264,15,seeds/kg,17.60,kg,10.00,Organic,,,,,,,,,,Kilograms,2.232 kg/row m,₪10.00/cs,26.8 Kilograms,₪892.67,₪74.39/row m,Annual,,,,,,Hand Seeding,,,
Vegetables,Fabaceae,Beans: Bush & Pole,Pole,Purple King,Direct Sow,Fresh,,,,,,,,,20/04/2020,,2,06/07/2020,08/07/2020,12 bed m,"Ramim,Ra.1,Block L6m,Beds 107-108",5.0,cm,1,,,,,,264,15,seeds/kg,17.60,kg,10.00,Organic,,,,,,,,,,Kilograms,2.232 kg/row m,₪10.00/cs,26.8 Kilograms,₪892.67,₪74.39/row m,Annual,,,,,,Hand Seeding,,,
Vegetables,Fabaceae,Beans: Bush & Pole,Pole,Blauhilde,Direct Sow,Fresh,,,,,,,,,07/05/2020,,28,13/07/2020,10/08/2020,12 bed m,"Home,HH,Block B,Beds 8",10.0,cm,1,,,,,,132,10,seeds/g,13.20,g,10.00,Organic,,,,,,,,,,Kilograms,2.232 kg/row m,₪10.00/cs,26.8 Kilograms,₪892.67,₪74.39/row m,Annual,,,,,,Hand Seeding,,,
Vegetables,Fabaceae,Beans: Bush & Pole,Pole,Dulico Del Metro,Greenhouse Sow,Fresh,07/05/2020,,,,,,,20,27/05/2020,,34,10/08/2020,13/09/2020,12 bed m,"Ramim,Ra.2,Block C1,Beds 209",20.0,cm,1,0.65,240 cell flats,1,30,156,156,15,seeds/g,10.40,g,0.00,,,,,,,,,,,Kilograms,0.700 kg/row m,₪30.00/kg,8.4 Kilograms,₪252.00,₪21.00/row m,Annual,,,,,,,,,
Vegetables,Fabaceae,Beans: Bush & Pole,Bush,Speedy,Direct Sow,Fresh,,,,,,,,,08/06/2020,,32,16/07/2020,17/08/2020,20 bed m,"zvika,Zvika,Block zB,Beds 520-521",10.0,cm,3,,,,,,660,15,seeds/g,44.00,g,10.00,Organic,,,,,,,,,,Kilograms,2.232 kg/row m,₪10.00/cs,133.9 Kilograms,"₪4,464.00",₪74.40/row m,Annual,,,,,,Hand Seeding,,,
Vegetables,Fabaceae,Beans: Bush & Pole,Bush,California Black Eyed,Direct Sow,Fresh,,,,,,,,,08/06/2020,,63,19/08/2020,21/10/2020,24 bed m,"zvika,Zvika,Block zB,Beds 515-516",5.0,cm,1,,,,,,528,15,seeds/g,35.20,g,10.00,Organic,,,,,,,,,,Kilograms,2.232 kg/row m,₪35.00/kg,53.6 Kilograms,"₪1,874.95",₪78.12/row m,Annual,,,,,,Hand Seeding,,,
Vegetables,Amaranthaceae,Beets,Beets,MIX עלי ביבי,Direct Sow,Baby Leaf Greens,,,,,,,,,28/08/2019,,109,17/10/2019,03/02/2020,6 bed m,"Ramim,Ra.2,Block C6m,Beds 208",0.5,cm,6,,,,,,7920,66823,seeds/kg,0.12,kg,10.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪12.00/cs,9.0 Kilograms,₪490.91,₪13.64/row m,Annual,,,,,,Hand Seeding,,,
Vegetables,Amaranthaceae,Beets,Beets,MIX עלי ביבי,Direct Sow,Baby Leaf Greens,,,,,,,,,25/10/2019,,140,02/12/2019,20/04/2020,10 bed m,"Ramim,Ra.1,Block L1,Beds 110",0.5,cm,6,,,,,,13200,66823,seeds/kg,0.20,kg,10.00,Organic,,,,,,,,,,Kilograms,0.300 kg/row m,₪8.00/cs,18.0 Kilograms,"₪1,296.00",₪21.60/row m,Annual,,,,,,Hand Seeding,14,9,FJ - 24
Vegetables,Amaranthaceae,Beets,Beets,Chioggia Guardsmark,Greenhouse Sow,Full-Size Root,14/11/2019,,,,,,,39,23/12/2019,,14,25/02/2020,10/03/2020,6 bed m,,20.0,cm,4,,310 cell flats,2,30,312,626,50,seeds/kg,12.52,kg,0.00,Organic,,,,,,,,,,Bunches,1.200 bn/row m,₪8.00/bn,28.8 Bunches,₪230.40,₪9.60/row m,Annual,,,,,,,,,
