Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
New Zealand Spinach,Generic Variety,,323.62 cs,,
New Zealand Spinach,Tetragonia Specialty,,380.00 cs,,
Okra,,,97.03 kg,,
Okra,Kandahar Pendi,,97.03 kg,,
Onions,,Full-Size,221.00 bn,,
Onions,Generic Variety,Full-Size,221.00 bn,,
Onions: Scallions,,Full-Size,"1,068.00 bn",,
Onions: Scallions,Generic Variety,Full-Size,783.00 bn,,
Onions: Scallions,Red Bunching,Full-Size,53.00 bn,,
Onions: Scallions,Summer Time,Full-Size,12.00 bn,,
Onions: Scallions,אלדורדו,Full-Size,220.00 bn,,
Pac Choi (Bok Choy),,Full-Size,247.00 hd,,
Pac Choi (Bok Choy),Generic Variety,Full-Size,242.00 hd,,
Pac Choi (Bok Choy),Yuushou,Full-Size,5.00 hd,,
Parsley,,Full-Size,"2,250.00 bn",,
Parsley,Generic Variety,Full-Size,"1,059.00 bn",,
Parsley,Green Perle - מסולסלת,Full-Size,227.00 bn,,
Parsley,בורג'ו - נטע,Full-Size,964.00 bn,,
Parsley Root,,,112.00 bn,,
Parsley Root,Generic Variety,,112.00 bn,,
Peas,,Full-Size,128.80 kg,,
Peas,De Grace,Full-Size,70.10 kg,,
Peas,Taccola gigante,Full-Size,57.30 kg,,
Peas,ורדה,Full-Size,1.40 kg,,
Peppers,,Early,40.65 kg,,
Peppers,Macabi,Early,2.00 kg,,
Peppers,Padron,Early,8.25 kg,,
Peppers,Romance,Early,28.40 kg,,
Peppers,לפיד,Early,2.00 kg,,
Peppers,,Ripe,172.75 kg,,
Peppers,Cornito Rosso,Ripe,72.00 kg,,
Peppers,Generic Variety,Ripe,41.40 kg,,
Peppers,Romance,Ripe,59.35 kg,,
Poppy,,Plant Sale,280.00 pl,,
Poppy,Generic Variety,Plant Sale,280.00 pl,,
Radishes,,Full-Size,"1,001.47 bn",,
Radishes,AB 708,Full-Size,83.00 bn,,
Radishes,AZ-506 sisi,Full-Size,124.00 bn,,
Radishes,Daikon Long,Full-Size,47.25 bn,,
Radishes,French Breakfast,Full-Size,31.00 bn,,
Radishes,Generic Variety,Full-Size,72.00 bn,,
Radishes,ice candle,Full-Size,36.00 bn,,
Radishes,Nero Tondo,Full-Size,206.72 bn,,
Radishes,Saxa,Full-Size,109.00 bn,,
Radishes,נטע אדומה,Full-Size,270.00 bn,,
Radishes,צנון אדום - נטע,Full-Size,8.75 bn,,
Radishes,צנון לבן z1015,Full-Size,13.75 bn,,
Radishes,,Microgreen,529.00 cs,,
Radishes,sakora - נבטים,Microgreen,529.00 cs,,
Sage,,,177.00 bn,,
Sage,Common,,167.00 bn,,
Sage,Generic Variety,,10.00 bn,,
Sorrel,,Baby Leaf,32.75 kg,,
Sorrel,Red Veined,Baby Leaf,32.75 kg,,
Spinach,,Full-Size,115.89 kg,,
Spinach,Aurora Mountain Spinach,Full-Size,18.70 kg,,
Spinach,Generic Variety,Full-Size,87.99 kg,,
Spinach,Giant Winter,Full-Size,9.20 kg,,
Summer Squash,,,450.70 kg,,
Summer Squash,kingu F1 - ירוק נטע,,134.70 kg,,
Summer Squash,topazio - חישתיל,,63.15 kg,,
Summer Squash,פסים - נטע,,252.85 kg,,
Sunflower,,Microgreen,344.00 cs,,
Sunflower,Generic Variety,Microgreen,104.00 cs,,
Sunflower,חמניה אוקראינית - בר לכל,Microgreen,240.00 cs,,
Tarragon,,Full-Size,83.00 bn,,
Tarragon,שיבה,Full-Size,83.00 bn,,
Tatsoi,,Baby Leaf,22.83 kg,,
Tatsoi,Generic Variety,Baby Leaf,22.83 kg,,
Thyme,,Full-Size,22.00 bn,,
Thyme,Generic Variety,Full-Size,22.00 bn,,
Tomatoes,,Plant Sale,50.00 pl,,
Tomatoes,Red Pear,Plant Sale,50.00 pl,,
Tomatoes,,Ripe,391.77 kg,,
Tomatoes,Black Cherry,Ripe,18.30 kg,,
Tomatoes,Blond Kopfcer - יעל,Ripe,10.73 kg,,
Tomatoes,Bull's Heart - מורשת יעל,Ripe,38.62 kg,,
Tomatoes,Ikram - חישתיל,Ripe,88.80 kg,,
Tomatoes,Lobelo - לובלו,Ripe,152.29 kg,,
Tomatoes,Marmande - מורשת יעל,Ripe,34.27 kg,,
Tomatoes,Tigerella,Ripe,24.90 kg,,
Tomatoes,שרי אדום גדול - יעל,Ripe,23.86 kg,,
Turnips,,Full-Size,154.00 bn,,
Turnips,Generic Variety,Full-Size,124.00 bn,,
Turnips,lodigiana לבן שטוח,Full-Size,30.00 bn,,
Winter Squash,,,629.40 kg,,
Winter Squash,Atlantic Giant,,35.60 kg,,
Winter Squash,Atlas,,35.90 kg,,
Winter Squash,Gialla Quintale,,21.00 kg,,
Winter Squash,Lunga Di Napoli,,43.80 kg,,
Winter Squash,Marina di Chioggia,,6.60 kg,,
Winter Squash,Red Kuri,,56.50 kg,,
Winter Squash,Table Queen,,41.00 kg,,
Winter Squash,Turkish Turban,,20.00 kg,,
Winter Squash,טריפולי,,311.90 kg,,
Winter Squash,סיציליאני - נוי,,57.10 kg,,
Winter Squash,,Plant Sale,10.00 pl,,
Winter Squash,טריפולי,Plant Sale,10.00 pl,,
