Sow Date,Category,Crop,Crop Type,Variety,Days In Greenhouse,Transplant Date,# Of Flats,Flat Type,Seeds Per Cell,Number Of Transplants,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Estimated loss,Total Seeds needed,Average seed weight,Average seed weight unit,Total weight needed,Total seed weight needed unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Microgreens/Plant sale
18/12/2018,Vegetables,Broccoli,Heading,Generic Variety,57,13/02/2019,0.61,128 cell flats,1,78.0,,,,,,,30,79,245,seeds/g,0.32,g,0.00,Organic,,,,,,,,,,
18/12/2018,Vegetables,Lettuce,Romaine,Generic Variety,57,13/02/2019,0.5,310 cell flats,1,156.0,,,,,,,30,155,875,seeds/g,0.18,g,0.00,,,,,,,,,,,
,Vegetables,Cabbage,Cabbage,Generic Variety,,25/12/2018,0.0,,,60.0,,,,,,,0,90,204682,seeds/g,0.00,g,0.00,,,,,,,,,,,
,Vegetables,Kohlrabi,Kohlrabi,Generic Variety,,25/12/2018,0.0,,,44.44,,,,,,,0,45,210,seeds/g,0.21,g,0.00,,,,,,,,,,,
,Vegetables,Fennel,Fennel,Generic Variety,,25/12/2018,0.0,,,120.0,,,,,,,0,120,195,seeds/g,0.62,g,0.00,,,,,,,,,,,
26/12/2018,Vegetables,Celeriac,Celeriac,Generic Variety,77,13/03/2019,1.01,310 cell flats,1,312.0,,,,,,,30,314,2349,seeds/g,0.13,g,0.00,Organic,,,,,,,,,,
31/12/2018,Vegetables,Celery,Celery,Gigante Dorato,72,13/03/2019,1.01,310 cell flats,2,312.0,,,,,,,30,627,2372,seeds/g,0.26,g,0.00,Organic,,,,,,,,,,
31/12/2018,Vegetables,Lettuce,Romaine,Generic Variety,72,13/03/2019,0.67,310 cell flats,1,208.0,,,,,,,30,208,875,seeds/g,0.24,g,0.00,,,,,,,,,,,
31/12/2018,Herbs,Dill,Dill,Generic Variety,51,20/02/2019,1.01,310 cell flats,4,312.0,,,,,,,30,1253,607,seeds/g,2.06,g,0.00,,,,,,,,,,,
01/01/2019,Vegetables,Celeriac,Celeriac,Generic Variety,85,27/03/2019,1.01,310 cell flats,1,312.0,,,,,,,30,314,2349,seeds/g,0.13,g,0.00,Organic,,,,,,,,,,
