Parents Crop,Variety,Year,Total Seeds Needed,Total Weight Needed,Total Seed Weight Needed Unit,Planting,Planting Seed Needed,Planting Seed Weight Needed,Planting Seed Weight Needed Unit,Planting Extra Seed Order %,Planting Seed Spec
Chives,Garlic Geisha,2022,1879,2.56,g,"10/1,  6 bed m, side > 100 > Bed 2",1879,2.56,g,0.0,
Cilantro,hyd. Santoriny,2021,14926,248.77,g,"6/7/2022,  400 plants, Hyd. S > SE > Bed 22",420,7.0,g,0.0,
,,,,,,"13/6/2022,  424 plants, Hyd. S > SE > Bed 17",445,7.42,g,0.0,
,,,,,,"27/7/2022,  5 bed m, Hyd. S > SE > Bed 17",4687,78.12,g,0.0,Organic
,,,,,,"1/9/2022,  2 bed m, Hyd. N > NW > Bed 13",1562,26.03,g,0.0,Organic
,,,,,,"2/3/2022,  800 plants, Hyd. S > SE > Beds 22-23",3125,52.08,g,0.0,Organic
,,,,,,"15/8/2022,  6 bed m, Hyd. S > SW > Bed 28",4687,78.12,g,0.0,Organic
Cilantro,hyd. Santoriny,2022,31244,520.74,g,"15/9/2022,  6 bed m, Hyd. N > NW > Bed 13",630,10.5,g,0.0,
,,,,,,"26/10/2022,  6 bed m, Hyd. N > NW > Bed 13",5040,84.0,g,0.0,Organic
,,,,,,"8/11/2022,  3 bed m, Hyd. N > NW > Bed 12",5040,84.0,g,0.0,Organic
,,,,,,"23/11/2022,  4 bed m, Hyd. S > SW > Bed 27",4687,78.12,g,0.0,Organic
,,,,,,"10/1,  6 bed m, Hyd. S - no beds selected",5580,93.0,g,0.0,Organic
,,,,,,"26/12/2022,  6 bed m, Hyd. S > SE > Bed 16",5580,93.0,g,0.0,Organic
,,,,,,"28/11/2022  · Plant Sale, 600 plants, Hyd. S - no beds selected",4687,78.12,g,0.0,Organic
Cilantro,hyd. סופר טורבו,2022,630,10.5,g,"15/12/2022,  6 bed m, Hyd. S > SW > Bed 27",630,10.5,g,0.0,
Cilantro,Santirini - נטע,2022,5568,92.8,g,"19/10/2022,  12 bed m, Ra.2 > C2 > Bed 222",528,8.8,g,10.0,
,,,,,,"20/12/2022,  12 bed m, Ra.2 > C1 > Bed 216",5040,84.0,g,600.0,Organic
Cress,hyd. גרגר הנחלים,2021,506,0.25,g,"11/4/2022,  4 bed m, Hyd. N > NW > Bed 14",308,0.15,g,10.0,Organic
,,,,,,"17/5/2022,  3 bed m, Hyd. N > NW > Bed 14",99,0.05,g,10.0,Organic
,,,,,,"4/8/2022,  3 bed m, Hyd. S > SE > Bed 18",99,0.05,g,10.0,Organic
Cress,hyd. גרגר הנחלים,2022,396,0.2,g,"12/9/2022,  3 bed m, Hyd. S > SE > Bed 18",99,0.05,g,10.0,Organic
,,,,,,"2/10/2022,  3 bed m, Hyd. S > SE > Bed 16",132,0.07,g,10.0,Organic
,,,,,,"15/11/2022,  2 bed m, Hyd. N > NW > Bed 9",66,0.03,g,10.0,Organic
,,,,,,"21/12/2022,  3 bed m, Hyd. N > NW > Bed 9",99,0.05,g,10.0,Organic
Cucumbers,Beit Alpha MR,2021,104,2.97,g,"26/5/2022,  12 bed m, Hyd. 4"" > SE-4""(40) > Beds 107-108",25,0.71,g,0.0,Organic
,,,,,,"27/7/2022,  30 bed m, Hyd. 4"" > NE-4""(50) > Beds 102-103 + 2 more Blocks",79,2.26,g,0.0,Organic
Cucumbers,hyd.  נטע,2021,31,0.89,g,"2/5/2022,  12 bed m, Hyd. 4"" > NE-4""(50) > Beds 102-103",31,0.89,g,0.0,
Cucumbers,hyd. Beit Alpha,2022,78,2.23,g,"7/10/2022,  24 bed m, Hyd. 4"" > NW-4""(50) > Beds 104-105 + 1 more Block",47,1.34,g,0.0,
,,,,,,"10/1,  12 bed m, Hyd. 4"" > SE-4""(40) > Beds 107-108",31,0.89,g,0.0,
Cucumbers,Mini Munch,2022,63,1.8,g,"10/1,  24 bed m, Hyd. 4"" > NW-4""(50) > Beds 104-105 + 1 more Block",63,1.8,g,0.0,Organic
Dill,hyd. Dukat,2021,17974,29.61,g,"25/7/2022,  100 plants, Hyd. S > SE > Bed 17",2797,4.61,g,0.0,
,,,,,,"1/8/2022,  360 plants, Hyd. S > SW > Bed 27",3720,6.13,g,0.0,
,,,,,,"16/2/2022,  550 plants, Hyd. N > NW > Bed 9",0,0.0,g,0.0,Organic
,,,,,,"15/8/2022,  3 bed m, Hyd. S > SW > Bed 27",3125,5.15,g,0.0,Organic
,,,,,,"10/3/2022,  4 bed m, Hyd. N > NW > Bed 12",0,0.0,g,0.0,Organic
,,,,,,"3/5/2022,  4 bed m, Hyd. N > NW > Bed 9",4166,6.86,g,0.0,Organic
,,,,,,"1/6/2022,  6 bed m, Hyd. S > SE > Bed 17",4166,6.86,g,0.0,Organic
Dill,hyd. Emilya,2021,7291,12.01,g,"31/8/2022,  3 bed m, Hyd. N > NW > Bed 11",3125,5.15,g,0.0,
,,,,,,"12/9/2022,  150 plants, Hyd. N > NW > Bed 11",4166,6.86,g,0.0,
Dill,hyd. Emilya,2022,10651,17.55,g,"26/10/2022,  4 bed m, Hyd. N > NW > Bed 10",3360,5.54,g,0.0,
,,,,,,"8/11/2022,  3 bed m, Hyd. N > NW > Bed 10",4166,6.86,g,0.0,
,,,,,,"23/11/2022,  3 bed m, Hyd. S > SW > Bed 27",3125,5.15,g,0.0,
Dill,Mammoth,2022,420,0.69,g,"15/12/2022,  4 bed m, Hyd. N > NW > Bed 13",420,0.69,g,0.0,
Eggplant,Meatball,2021,31,0.53,g,"6/4/2022,  12 bed m, Ra.1 > L1 > Bed 112",31,0.53,g,0.0,
Eggplant,Ping Tung Long,2021,62,0.26,g,"6/4/2022,  24 bed m, Ra.1 > L1 > Beds 110-111",62,0.26,g,0.0,
Fennel,Orion,2021,953,4.77,g,"17/8/2022,  24 bed m, Ra.3 > R3 > Beds 329-330",378,1.89,g,0.0,
,,,,,,"2/3/2022,  9 bed m, Zvika > zA > Bed 509",575,2.88,g,0.0,Organic
Fennel,Orion,2022,2934,14.67,g,"6/9/2022,  10 bed m, Ra.3 > R2 > Bed 328",200,1.0,g,0.0,
,,,,,,"20/12/2022,  12 bed m, Ra.2 > C2 > Bed 220",622,3.11,g,0.0,Organic
,,,,,,"4/10/2022,  12 bed m, Ra.3 > R2 > Bed 327",240,1.2,g,0.0,
,,,,,,"30/11/2022,  12 bed m, Ra.2 > C2 > Bed 219",626,3.13,g,0.0,Organic
,,,,,,"25/1,  24 bed m, Zvika > zA > Beds 509-510",1246,6.23,g,0.0,Organic
Garlic,שום ירוק,2022,2001,11.47,kg,"13/9/2022,  36 bed m, Zvika > zB > Beds 520-522",1656,9.74,kg,15.0,
,,,,,,"20/12/2022,  6 bed m, Ra.2 > C6m > Bed 208",345,1.73,kg,15.0,
Garlic,שני - מהגינה,2022,1656,9.74,kg,"15/9/2022,  72 bed m, Zvika > zB > Beds 514-519",1656,9.74,kg,15.0,Organic
Ginger,Generic Variety,2021,230,9.52,kg,"20/4/2022,  12 bed m, Ra.1 > L1 > Bed 114",198,7.92,kg,10.0,Organic
,,,,,,"7/7/2022,  4 bed m, Ra.3 > R1 > Bed 311",32,1.6,kg,5.0,Organic
Hibiscus,Generic Variety,2021,180,1.8,g,"6/7/2022,  24 bed m, Ra.3 > R1 > Beds 309-310",180,1.8,g,0.0,Organic
Jerusalem Artichokes,Stampede,2021,122,1604.5,g,"20/4/2022,  12 bed m, Ra.2 > C6m > Beds 201-202",60,3.0,g,30.0,
,,,,,,"6/7/2022,  6 bed m, Ra.1 > L6m > Bed 104",30,1.5,g,30.0,
,,,,,,"6/7/2022,  6 bed m, Ra.2 > C6m > Bed 203",32,1.6,kg,5.0,
Jicama,Itay,2021,2403,240.3,g,"13/4/2022,  24 bed m, Zvika > zA > Beds 510-511",528,52.8,g,10.0,
,,,,,,"26/6/2022,  12 bed m, Zvika > zA > Bed 509",468,46.8,g,0.0,
,,,,,,"23/6/2022,  24 bed m, Zvika > zA > Beds 512-513",1056,105.6,g,10.0,
,,,,,,"3/8/2022,  18 bed m, Ra.3 > R6m > Beds 302-304",351,35.1,g,0.0,
Kale,Generic Variety,2021,781,3.91,g,"1/11/2022  · Plant Sale, 200 plants",781,3.91,g,0.0,
Kale,Lacinato (Dinosaur),2022,468,2.34,g,"26/10/2022,  24 bed m, HH > B > Beds 9-10",234,1.17,g,0.0,
,,,,,,"8/2,  24 bed m, HH > C > Beds 17-18",234,1.17,g,0.0,
Kale,Scarlet,2021,781,3.91,g,"25/2/2022  · Plant Sale, 200 plants",781,3.91,g,0.0,
Kale,Scarlet,2022,349,1.75,g,"26/10/2022,  12 bed m, HH > B > Bed 11",349,1.75,g,0.0,
Kale,גומן,2022,624,3.12,g,"26/10/2022,  12 bed m, HH > B > Bed 12",624,3.12,g,0.0,
Kohlrabi,Delicacy Purple,2021,312,1.56,g,"18/1/2022,  12 bed m, Zvika > zB > Bed 521",312,1.56,g,0.0,
Kohlrabi,Delicacy Purple,2022,832,4.16,g,"1/11/2022  · Plant Sale, 320 plants",832,4.16,g,0.0,
Kohlrabi,Korist,2022,1056,5.28,g,"6/9/2022,  24 bed m, Ra.3 > R2 > Beds 325-326",528,2.64,g,0.0,
,,,,,,"11/10/2022,  24 bed m, Ra.3 > R1 > Beds 313-314",528,2.64,g,0.0,
Kohlrabi,קרף - נטע,2021,252,1.26,g,"2/3/2022,  19 bed m, Zvika > zB > Beds 515-516",252,1.26,g,0.0,
Kohlrabi,קרף - נטע,2022,2504,12.52,g,"26/10/2022,  12 bed m, Ra.2 > C2 > Bed 227",0,0.0,g,0.0,
,,,,,,"8/11/2022,  12 bed m, Ra.2 > C2 > Bed 228",1252,6.26,g,0.0,
,,,,,,"20/12/2022,  24 bed m, Ra.2 > C1 > Beds 213-214",1252,6.26,g,0.0,
Leeks,Alto,2021,3175,10.48,g,"3/8/2022,  24 bed m, Ra.4 > Lo24 > Bed 402",1403,4.63,g,0.0,
,,,,,,"26/10/2022,  24 bed m, Ra.2 > C2 > Beds 225-226",840,2.77,g,0.0,
,,,,,,"15/6/2022,  12 bed m, Ra.3 > R3 > Bed 335",932,3.08,g,0.0,
Leeks,Alto,2022,3174,10.48,g,"16/11/2022,  18 bed m, Ra.3 > R6m > Beds 302-304",378,1.25,g,0.0,
,,,,,,"4/1,  24 bed m, Ra.3 > R3 > Beds 329-330",936,3.09,g,0.0,
,,,,,,"24/5,  36 bed m, Ra.2 > C2 > Beds 217-219",1860,6.14,g,0.0,
Lemon Balm,Lemon Balm,2021,27,0.02,g,"1/2/2022,  4 bed m, Zvika > zB > Bed 525",27,0.02,g,0.0,
Lettuce,Generic Variety,2021,911,1.14,g,"18/2/2022  · Plant Sale, 350 plants",455,0.57,g,0.0,
,,,,,,"16/4/2022  · Plant Sale, 350 plants",456,0.57,g,0.0,
Lettuce,Generic Variety,2022,326,0.41,g,"2/11/2022  · Plant Sale, 250 plants",326,0.41,g,0.0,
Lettuce,hyd. Parella - חמאה אדומה,2021,159,0.2,g,"12/1/2022,  151 plants, Hyd. N > NE > Bed 6",159,0.2,g,0.0,
Lettuce,hyd. אייסברג,2021,518,0.65,g,"25/1/2022,  150 plants, Hyd. N > NE > Bed 1",158,0.2,g,0.0,
,,,,,,"3/2/2022,  150 plants, Hyd. N > NE > Bed 2",158,0.2,g,0.0,
,,,,,,"20/7/2022,  6 bed m, Hyd. N > NE > Bed 7",202,0.25,g,0.0,
Lettuce,hyd. אייסברג,2022,277,0.35,g,"15/11/2022,  3 bed m, Hyd. N > NE > Bed 5",101,0.13,g,0.0,
,,,,,,"15/12/2022,  6 bed m, Hyd. S > SE > Bed 19",176,0.22,g,0.0,
Lettuce,hyd. לאליק,2021,158,0.2,g,"8/3/2022,  150 plants, Hyd. S > SE > Bed 16",158,0.2,g,0.0,
Lettuce,hyd. לאליק,2022,323,0.4,g,"12/10/2022,  168 plants, Hyd. S > SE > Bed 21",176,0.22,g,0.0,
,,,,,,"29/11/2022,  140 plants, Hyd. S > SE > Bed 16",147,0.18,g,0.0,
Lettuce,hyd. מסולסלת,2021,460,0.58,g,"3/8/2022,  6 bed m, Hyd. S > SW > Bed 25",176,0.22,g,0.0,
,,,,,,"3/8/2022,  5 bed m, Hyd. N > NE > Bed 7",126,0.16,g,0.0,
,,,,,,"3/2/2022,  150 plants, Hyd. N > NE > Bed 2",158,0.2,g,0.0,
Lettuce,hyd. מסולסלת,2022,567,0.71,g,"2/10/2022,  360 plants, Hyd. S > SW > Beds 24-25",378,0.47,g,0.0,
,,,,,,"21/12/2022,  6 bed m, Hyd. N > NW > Bed 12",189,0.24,g,0.0,
Lettuce,hyd. סולטרו - לאליק אדום,2022,176,0.22,g,"15/9/2022,  160 plants, Hyd. N > NE > Bed 5",176,0.22,g,0.0,
Lettuce,hyd. סלנובה,2021,2989,3.72,g,"6/6/2022,  406 plants, Hyd. N > NE > Beds 3-4",426,0.53,g,0.0,
,,,,,,"6/7/2022,  5 bed m, Hyd. S > SE > Bed 21",210,0.26,g,0.0,
,,,,,,"26/6/2022,  152 plants, Hyd. S > SE > Bed 21",160,0.2,g,0.0,
,,,,,,"21/2/2022,  420 plants, Hyd. S > SE > Bed 18",441,0.55,g,0.0,
,,,,,,"23/3/2022,  432 plants, Hyd. S > SE > Bed 21",454,0.57,g,0.0,
,,,,,,"6/4/2022,  6 bed m, Hyd. N > NE > Bed 4",403,0.5,g,0.0,
,,,,,,"26/4/2022,  352 plants, Field not assigned",370,0.46,g,0.0,
,,,,,,"3/8/2022,  7.5 bed m, Hyd. N > NE > Beds 5-6",315,0.39,g,0.0,
,,,,,,"20/7/2022,  5 bed m, Hyd. N > NE > Bed 3",210,0.26,g,0.0,
Lettuce,hyd. סלנובה,2022,1114,1.39,g,"11/10/2022,  360 plants, Hyd. S > SE > Beds 19-20",378,0.47,g,0.0,
,,,,,,"5/9/2022,  301 plants, Hyd. N > NE > Bed 3",316,0.4,g,0.0,
,,,,,,"26/10/2022,  5 bed m, Hyd. S > SE > Bed 20",210,0.26,g,0.0,
,,,,,,"29/11/2022,  5 bed m, Hyd. S > SE > Bed 18",210,0.26,g,0.0,
Lettuce,hyd. ערבית - נהורה נטע,2022,651,0.81,g,"1/2,  250 plants, Field not assigned",651,0.81,g,0.0,
Lettuce,hyd. פלנדריה - חמאה,2021,319,0.4,g,"16/3/2022,  176 plants, Hyd. S > SE > Bed 16",319,0.4,g,0.0,
Lettuce,hyd. פלנדריה - חמאה,2022,303,0.38,g,"15/9/2022,  192 plants, Hyd. N > NE > Bed 4",202,0.25,g,0.0,
,,,,,,"15/11/2022,  3 bed m, Hyd. N > NE > Bed 5",101,0.13,g,0.0,
Lettuce,hyd. רומית,2021,3336,4.19,g,"30/3/2022,  6 bed m, Hyd. S > SE > Bed 19",252,0.32,g,0.0,
,,,,,,"7/2/2022,  301 plants, Hyd. N > NE > Beds 3-4",316,0.4,g,0.0,
,,,,,,"21/2/2022,  180 plants, Hyd. S > SE > Bed 17",189,0.24,g,0.0,
,,,,,,"26/4/2022,  168 plants, Field not assigned",176,0.22,g,0.0,
,,,,,,"16/5/2022,  240 plants, Field not assigned",252,0.32,g,0.0,
,,,,,,"6/6/2022,  168 plants, Hyd. N > NE > Bed 5",176,0.22,g,0.0,
,,,,,,"8/3/2022,  150 plants, Hyd. N > NE > Bed 4",158,0.2,g,0.0,
,,,,,,"16/3/2022,  212 plants, Hyd. N > NE > Bed 5",223,0.28,g,0.0,
,,,,,,"6/7/2022,  10 bed m, Hyd. N > NE > Beds 7-8",294,0.37,g,0.0,
,,,,,,"3/8/2022,  382 plants, Hyd. S > SW > Beds 24-25",401,0.5,g,0.0,
,,,,,,"18/8/2022,  336 plants, Hyd. S > SE > Beds 19-20",353,0.44,g,0.0,
,,,,,,"31/3/2022,  2 bed m, Hyd. S > SE > Bed 20",168,0.21,g,0.0,
,,,,,,"26/4/2022,  360 plants, Field not assigned",378,0.47,g,0.0,
Lettuce,hyd. רומית,2022,1758,2.2,g,"5/9/2022,  269 plants, Hyd. N > NE > Beds 7-8",282,0.35,g,0.0,
,,,,,,"2/10/2022,  301 plants, Hyd. S > SW > Beds 26-27",316,0.4,g,0.0,
,,,,,,"11/10/2022,  6 bed m, Hyd. S > SW > Bed 25",202,0.25,g,0.0,
,,,,,,"26/10/2022,  8 bed m, Hyd. N > NE > Beds 2-3",269,0.34,g,0.0,
,,,,,,"15/11/2022,  6 bed m, Hyd. N > NE > Bed 4",202,0.25,g,0.0,
,,,,,,"24/11/2022,  6 bed m, Hyd. S > SW > Bed 24",252,0.32,g,0.0,
,,,,,,"15/12/2022,  8 bed m, Hyd. N > NE > Beds 2-3",235,0.29,g,0.0,
Lettuce,hyd. רומית - מגנום,2021,353,0.44,g,"26/6/2022,  6 bed m, Hyd. S > SE > Bed 19",151,0.19,g,0.0,
,,,,,,"26/6/2022,  3 bed m, Hyd. S > SE > Bed 20",202,0.25,g,0.0,
Lettuce,hyd. רומית - סרוונטס,2021,323,0.4,g,"20/7/2022,  11 bed m, Hyd. N > NE > Beds 2-3",323,0.4,g,0.0,
Lettuce,hyd. רומית אדומה purple heart,2022,118,0.15,g,"21/12/2022,  4 bed m, Hyd. S > SW > Bed 26",118,0.15,g,0.0,
Lettuce: Salad Mix,hyd. Nussly,2021,0,0.0,g,"21/2/2022,  200 plants, Hyd. S > SW > Bed 26",0,0.0,g,0.0,
Lettuce: Salad Mix,hyd. Nussly,2022,2877,5.75,g,"19/1,  6 bed m, Field not assigned",2877,5.75,g,0.0,
Lettuce: Salad Mix,Mesclun Mix,2021,886200,1113.31,g,"18/1/2022,  12 bed m, Ra.2 > C2 > Bed 221",37800,47.49,g,5.0,
,,,,,,"21/2/2022,  6 bed m, Ra.2 > C2 > Bed 221",25200,31.66,g,5.0,
,,,,,,"6/4/2022,  12 bed m, Ra.1 > L2 > Bed 127",67200,84.42,g,5.0,
,,,,,,"2/2/2022,  12 bed m, Ra.3 > R2 > Bed 328",67200,84.42,g,5.0,
,,,,,,"21/3/2022,  12 bed m, Ra.3 > R3 > Bed 334",67200,84.42,g,5.0,
,,,,,,"6/1/2022,  12 bed m, Ra.3 > R3 > Bed 336",50400,63.32,g,5.0,
,,,,,,"27/4/2022,  12 bed m, Ra.1 > L2 > Bed 129",67200,84.42,g,5.0,
,,,,,,"11/5/2022,  12 bed m, Ra.1 > L2 > Bed 131",67200,84.42,g,5.0,
,,,,,,"24/5/2022,  12 bed m, Ra.1 > L1 > Bed 113",67200,84.42,g,5.0,
