Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
Garlic,שני - מהגינה,Bulb,55.00 kg,,
Garlic,,Scapes,208.00 bn,60.00 bn,60.00 bn
Garlic,שום ירוק,Scapes,192.00 bn,,
Ginger,,,,1.00 kg,2.00 kg
Hibiscus,,,960.00 g,"4,498.00 g","4,498.00 g"
Hibiscus,Generic Variety,,960.00 g,,
Jerusalem Artichokes,,,4.00 kg,38.00 kg,38.00 kg
Jerusalem Artichokes,Stampede,,4.00 kg,,
Jicama,,,,125.00 kg,165.00 kg
Kale,,Full-Size,307.01 bn,576.00 bn,544.00 bn
Kale,Lacinato (Dinosaur),Full-Size,169.17 bn,,
Kale,Scarlet,Full-Size,55.17 bn,,
Kale,גומן,Full-Size,28.67 bn,,
Kale,,Plant Sale,100.00 pl,,
Kale,Generic Variety,Plant Sale,100.00 pl,,
Kohlrabi,,Full-Size,32.00 kg,203.00 kg,207.00 kg
Kohlrabi,Delicacy Purple,Full-Size,9.00 kg,,
Kohlrabi,Korist,Full-Size,3.50 kg,,
Kohlrabi,קרף - נטע,Full-Size,19.50 kg,,
Kohlrabi,,Plant Sale,100.00 pl,,
Kohlrabi,Delicacy Purple,Plant Sale,100.00 pl,,
Leeks,,,32.00 bn,443.00 bn,449.00 bn
Leeks,Alto,,32.00 bn,,
Lemon Balm,,Full-Size,11.00 bn,8.00 bn,8.00 bn
Lemon Balm,Lemon Balm,Full-Size,11.00 bn,,
Lemon Verbena,,,73.00 bn,65.00 bn,56.00 bn
Lemon Verbena,Lemon Verbena,,73.00 bn,,
Lettuce,,Full-Size,971.08 hd,"5,649.00 hd","5,551.00 hd"
Lettuce,936 רומית,Full-Size,42.13 hd,,
Lettuce,Bionda Degli Ortolani,Full-Size,23.13 hd,,
Lettuce,hyd. Bronze Arrow,Full-Size,30.00 hd,,
Lettuce,hyd. Parella - חמאה אדומה,Full-Size,0.86 hd,,
Lettuce,hyd. אייסברג,Full-Size,58.34 hd,,
Lettuce,hyd. בייבי גאם,Full-Size,0.86 hd,,
Lettuce,hyd. חמאה אדומה,Full-Size,36.86 hd,,
Lettuce,hyd. לאליק,Full-Size,3.75 hd,,
Lettuce,hyd. מסולסלת,Full-Size,39.75 hd,,
Lettuce,hyd. סולטרו - לאליק אדום,Full-Size,4.00 hd,,
Lettuce,hyd. סלנובה,Full-Size,207.00 hd,,
Lettuce,hyd. סלנובה אדומה,Full-Size,20.00 hd,,
Lettuce,hyd. ערבית - נהורה נטע,Full-Size,3.13 hd,,
Lettuce,hyd. פלנדריה - חמאה,Full-Size,4.86 hd,,
Lettuce,hyd. רומית,Full-Size,257.13 hd,,
Lettuce,hyd. רומית - מגנום,Full-Size,3.13 hd,,
Lettuce,hyd. רומית - סרוונטס,Full-Size,3.13 hd,,
Lettuce,Iceberg,Full-Size,5.34 hd,,
Lettuce,IceBerg - לימור,Full-Size,5.34 hd,,
Lettuce,May queen - Regina di Maggio,Full-Size,0.86 hd,,
Lettuce,Parella - חמאה אדומה,Full-Size,0.86 hd,,
Lettuce,Samba - אדומה,Full-Size,3.75 hd,,
Lettuce,מיאל - אדומה,Full-Size,3.75 hd,,
Lettuce,ערבית - רם שחר,Full-Size,3.13 hd,,
Lettuce,ערבית צהובת עלים,Full-Size,3.13 hd,,
Lettuce,ראש חמאה,Full-Size,0.86 hd,,
Lettuce,,Plant Sale,600.00 pl,,
Lettuce,Generic Variety,Plant Sale,500.00 pl,,
Lettuce,hyd. פלנדריה - חמאה,Plant Sale,100.00 pl,,
Lettuce: Salad Mix,,Full-Size,211.53 kg,712.45 kg,677.82 kg
Lettuce: Salad Mix,Mesclun Mix,Full-Size,119.67 kg,,
Lettuce: Salad Mix,חרדל Red Giant,Full-Size,24.28 kg,,
Lettuce: Salad Mix,מיזונה מיקס,Full-Size,7.86 kg,,
Lettuce: Salad Mix,נטע מיקס - Luna Nera+Cavalo,Full-Size,11.91 kg,,
Lettuce: Salad Mix,קייל בייבי,Full-Size,9.50 kg,,
Lovage,,Full-Size,32.00 bn,372.00 bn,362.00 bn
Lovage,hyd. Lovage,Full-Size,21.00 bn,,
Lovage,Lovage,Full-Size,11.00 bn,,
Melons,,,52.50 kg,165.00 kg,158.00 kg
Melons,Ananas Coquette,,15.00 kg,,
Melons,Galia Regalia,,12.50 kg,,
Melons,פרלינה,,25.00 kg,,
Melons,,Plant Sale,100.00 pl,,
Melons,Galia Regalia,Plant Sale,100.00 pl,,
Mint,,Full-Size,514.00 bn,518.00 bn,523.00 bn
Mint,Common Mint,Full-Size,29.00 bn,,
Mint,Doublemint,Full-Size,3.00 bn,,
Moringa (Drumstick Tree),,,7.00 cs,7.00 cs,7.00 cs
New Zealand Spinach,,,118.30 kg,218.00 kg,224.50 kg
New Zealand Spinach,Tetragonia Specialty,,43.20 kg,,
Onions: Scallions,,Full-Size,82.00 bn,"1,518.00 bn","1,483.00 bn"
Onions: Scallions,hyd. Aldorado,Full-Size,82.00 bn,,
Oranges,,,338.60 kg,255.00 kg,260.00 kg
Oranges,Valencia,,72.90 kg,,
Pac Choi (Bok Choy),,Full-Size,87.00 cs,20.00 cs,30.00 cs
Pac Choi (Bok Choy),Hyd. Neta,Full-Size,87.00 cs,,
Parsley,,Full-Size,104.00 bn,"1,630.00 bn","1,597.00 bn"
Parsley,hyd. Borjo,Full-Size,101.00 bn,,
Parsley,בורג'ו - נטע,Full-Size,3.00 bn,,
Parsley,,Plant Sale,200.00 pl,,
Parsley,Generic Variety,Plant Sale,200.00 pl,,
Peas,,Full-Size,9.30 kg,22.00 kg,22.00 kg
Peas,Norli,Full-Size,9.30 kg,,
Peppers,,Early,1.70 kg,,
Peppers,Sweet Bite,Early,1.70 kg,,
Peppers,,Ripe,46.65 kg,71.12 kg,81.24 kg
Peppers,Sweet Bite,Ripe,11.35 kg,,
Peppers,Thai Red Chili,Ripe,9.30 kg,,
Peppers,אלטר - לפיד,Ripe,17.00 kg,,
Peppers,וולטה - מוארך,Ripe,9.00 kg,,
Radishes,,Full-Size,505.99 bn,"1,272.00 bn","1,190.00 bn"
Radishes,AZ-506 sisi,Full-Size,130.33 bn,,
Radishes,Daikon Long,Full-Size,26.00 bn,,
Radishes,French Breakfast,Full-Size,109.33 bn,,
Radishes,Generic Variety,Full-Size,12.00 bn,,
Radishes,ice candle,Full-Size,30.33 bn,,
Radishes,Nero Tondo,Full-Size,101.00 bn,,
Radishes,צנון אדום - נטע,Full-Size,16.00 bn,,
Radishes,צנון לבן z1015,Full-Size,11.00 bn,,
Radishes,,Microgreen,,4.00 kg,4.00 kg
Sage,,,238.00 bn,253.00 bn,239.00 bn
Sage,Common,,9.00 bn,,
Spinach,,Full-Size,18.80 bn,74.00 bn,74.00 bn
Spinach,hyd. פולה f1,Full-Size,18.80 bn,,
Spinach,,Plant Sale,450.00 pl,,
Spinach,Giant Winter,Plant Sale,50.00 pl,,
Spinach,hyd. פולה f1,Plant Sale,400.00 pl,,
Strawberry,,,19.51 kg,34.00 kg,35.00 kg
Strawberry,פלס,,9.95 kg,,
Summer Squash,,,378.00 kg,140.00 kg,140.00 kg
Summer Squash,Alberrllo DI Sarzana,,13.50 kg,,
Summer Squash,Nero di Milano,,12.50 kg,,
Summer Squash,Striata D'Napoli - פסים,,17.50 kg,,
Summer Squash,גילי - בהיר,,15.70 kg,,
Tarragon,,Full-Size,12.00 bn,,
Tarragon,שיבה,Full-Size,12.00 bn,,
Thyme,,Full-Size,23.00 bn,11.00 bn,11.00 bn
Thyme,Generic Variety,Full-Size,23.00 bn,,
Tomatoes,,Ripe,45.40 kg,167.80 kg,188.60 kg
Tomatoes,Cuore Di Bue,Ripe,0.50 kg,,
Tomatoes,hyd. montecarlo F1,Ripe,4.00 kg,,
Tomatoes,Lobelo - חישתיל מורכב,Ripe,19.60 kg,,
Tomatoes,Lobelo hyd. מורכב,Ripe,7.80 kg,,
Tomatoes,Marmande - מורשת יעל,Ripe,2.00 kg,,
Tomatoes,תמר,Ripe,11.50 kg,,
Turmeric,,,12.10 kg,73.00 kg,45.00 kg
Turmeric,Elad,,8.00 kg,,
Turmeric,Generic Variety,,1.60 kg,,
Turnips,,Baby Size,14.00 bn,16.00 bn,20.00 bn
Turnips,,Full-Size,,88.00 bn,100.00 bn
Winter Squash,,,35.50 kg,112.00 kg,121.00 kg
Winter Squash,Honeynut,,22.50 kg,,
Winter Squash,Red Kuri,,13.00 kg,,
