Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date,14th Rotation Planting Name,14th Rotation Crop,14th Rotation Start Date,14th Rotation End Date
Hydro,"Hyd. 4""",,"SW-4""(50)",9,,"Cucumbers, hyd. Beit Alpha",Cucumbers,12/09/2022,01/12/2022,"Cucumbers, Mini Munch",Cucumbers,20/12/2022,09/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SW-4""(50)",10,,"Cucumbers, hyd. Beit Alpha",Cucumbers,12/09/2022,01/12/2022,"Cucumbers, Mini Munch",Cucumbers,20/12/2022,09/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,1,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,23/11/2021,28/01/2022,"Lettuce, Oakleaf, hyd.  טוקיו בקנה, Full-Size",Lettuce,16/12/2021,15/03/2022,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,25/01/2022,15/04/2022,"Basil, hyd. Prospera, Full-Size",Basil,21/02/2022,19/08/2022,"Chard, Hyd. Fordhook Giant, Full-Size",Chard,03/08/2022,18/12/2022,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,29/09/2022,28/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,2,,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,23/11/2021,02/02/2022,"Lettuce, Oakleaf, hyd. Bronze Arrow, Full-Size",Lettuce,01/12/2021,12/05/2022,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,03/02/2022,07/04/2022,"Lettuce, Bibb, hyd. מסולסלת, Full-Size",Lettuce,03/02/2022,11/04/2022,"Lettuce, Romaine, hyd. רומית - סרוונטס, Full-Size",Lettuce,20/07/2022,18/09/2022,"Chard, Hyd. Fordhook Giant, Full-Size",Chard,03/08/2022,18/12/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,26/10/2022,15/12/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,15/12/2022,09/02/2023,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,3,,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,23/11/2021,02/02/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,07/02/2022,09/04/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,06/06/2022,22/07/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,20/07/2022,14/09/2022,"Lettuce, Romaine, hyd. רומית - סרוונטס, Full-Size",Lettuce,20/07/2022,18/09/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,05/09/2022,27/10/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,26/10/2022,15/12/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,15/12/2022,09/02/2023,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,4,,"Lettuce, Butterhead, hyd. חמאה אדומה, Full-Size",Lettuce,08/12/2021,14/03/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,07/02/2022,09/04/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,08/03/2022,26/04/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,06/04/2022,09/06/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,06/06/2022,22/07/2022,"Basil, hyd. Prospera, Full-Size",Basil,29/06/2022,20/09/2022,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,15/09/2022,10/11/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,15/11/2022,05/01/2023,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,5,,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,21/10/2021,17/03/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,16/03/2022,16/05/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,06/06/2022,25/07/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,03/08/2022,07/09/2022,"Lettuce, Bibb, hyd. סולטרו - לאליק אדום, Full-Size",Lettuce,15/09/2022,10/11/2022,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,15/11/2022,10/01/2023,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,15/11/2022,03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,6,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,08/12/2021,12/02/2022,"Celery, hyd. Early Bell, Full-Size",Celery,16/12/2021,20/06/2022,"Lettuce, Butterhead, hyd. Parella - חמאה אדומה, Full-Size",Lettuce,12/01/2022,24/03/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,03/08/2022,07/09/2022,"Lovage, hyd. Lovage, Full-Size",Lovage,22/09/2022,15/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,7,,"Celery, hyd. Early Bell, Full-Size",Celery,26/09/2021,04/05/2022,"Celery, hyd. Early Bell, Full-Size",Celery,27/01/2022,14/07/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,06/07/2022,10/09/2022,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,20/07/2022,07/09/2022,"Lettuce, Bibb, hyd. מסולסלת, Full-Size",Lettuce,03/08/2022,07/09/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,05/09/2022,30/10/2022,"Spinach, hyd. פולה f1, Full-Size",Spinach,20/09/2022,26/01/2023,"Basil, hyd. Prospera, Full-Size",Basil,29/09/2022,16/04/2023,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,8,,"Celery, hyd. Early Bell, Full-Size",Celery,26/09/2021,04/05/2022,"Celery, hyd. Giant Dorato, Full-Size",Celery,23/11/2021,08/03/2022,"Celery, hyd. Early Bell, Full-Size",Celery,27/01/2022,14/07/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,06/07/2022,10/09/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,05/09/2022,30/10/2022,"Spinach, hyd. פולה f1, Full-Size",Spinach,20/09/2022,26/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,9,,"Celery, hyd. Early Bell, Full-Size",Celery,02/11/2021,16/05/2022,"Celery, hyd. Giant Dorato, Full-Size",Celery,23/11/2021,08/03/2022,"Dill, hyd. Dukat, Leaf",Dill,21/01/2022,18/05/2022,"Celery, hyd. Early Bell, Full-Size",Celery,16/03/2022,27/08/2022,"Dill, hyd. Dukat, Leaf",Dill,14/04/2022,07/07/2022,"Parsley, hyd. מסולסלת, Full-Size",Parsley,04/10/2022,06/02/2023,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,15/11/2022,31/12/2022,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,21/12/2022,05/02/2023,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,10,,"Chives, Garlic, hyd. עירית שומית, Full-Size",Chives,28/08/2021,04/02/2022,"Celery, hyd. Early Bell, Full-Size",Celery,02/11/2021,16/05/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,21/12/2021,15/04/2022,"Celery, hyd. Early Bell, Full-Size",Celery,16/03/2022,15/09/2022,"Dill, hyd. Emilya, Leaf",Dill,14/09/2022,22/12/2022,"Dill, hyd. Emilya, Leaf",Dill,12/10/2022,25/12/2022,"Pac Choi (Bok Choy), Hyd. Neta, Full-Size",Pac Choi (Bok Choy),08/11/2022,09/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,11,,"Dill, hyd. Dukat, Full-Size",Dill,23/11/2021,17/05/2022,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,31/03/2022,21/08/2022,"Dill, hyd. Emilya, Leaf",Dill,23/07/2022,01/11/2022,"Dill, hyd. Emilya, Leaf",Dill,24/08/2022,21/11/2022,"Parsley, hyd. מסולסלת, Full-Size",Parsley,23/11/2022,28/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,12,,"Pac Choi (Bok Choy), Hyd. Neta, Full-Size",Pac Choi (Bok Choy),04/12/2021,28/02/2022,"Dill, hyd. Dukat, Leaf",Dill,10/02/2022,08/06/2022,"Parsley, hyd. Borjo, Full-Size",Parsley,22/03/2022,21/08/2022,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,01/06/2022,03/09/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,29/09/2022,13/01/2023,"Lettuce, Bibb, hyd. מסולסלת, Full-Size",Lettuce,21/12/2022,17/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,13,,"Parsley, hyd. Borjo, Full-Size",Parsley,22/08/2021,11/04/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,23/07/2022,15/11/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,14/09/2022,31/12/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,15/09/2022,19/11/2022,"Dill, Mammoth, Leaf",Dill,15/12/2022,08/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,14,,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,19/10/2021,05/04/2022,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,11/04/2022,15/05/2022,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,17/05/2022,28/06/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,29/06/2022,14/11/2022,"Onions: Scallions, White Spear, Full-Size",Onions: Scallions,20/12/2022,18/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,15,,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,26/09/2021,01/02/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,21/10/2021,06/03/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,16/12/2021,15/05/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,30/12/2021,01/04/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,19/01/2022,02/06/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,10/02/2022,27/06/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,16/03/2022,21/07/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,14/04/2022,28/08/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,04/05/2022,02/10/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,30/05/2022,22/10/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,28/07/2022,25/12/2022,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,24/08/2022,09/01/2023,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,29/09/2022,04/03/2023,"Onions: Scallions, hyd. Aldorado, Full-Size",Onions: Scallions,26/10/2022,26/01/2023
Hydro,Hyd. S,,SE,1,,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,15/12/2021,08/03/2022,"Lettuce, Butterhead, hyd. פלנדריה - חמאה, Full-Size",Lettuce,20/01/2022,12/05/2022,"Lettuce, Bibb, hyd. לאליק, Full-Size",Lettuce,08/03/2022,28/05/2022,"Celery, hyd. Early Bell, Full-Size",Celery,30/05/2022,26/11/2022,"Parsley, hyd. Borjo, Full-Size",Parsley,13/06/2022,01/10/2022,"Celery, hyd. Early Bell, Full-Size",Celery,03/08/2022,02/10/2022,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,02/10/2022,25/12/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,24/11/2022,16/03/2023,"Lettuce, Bibb, hyd. לאליק, Full-Size",Lettuce,29/11/2022,08/02/2023,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,2,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,15/12/2021,11/03/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,21/02/2022,02/05/2022,"Dill, hyd. Dukat, Leaf",Dill,04/05/2022,16/07/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,13/06/2022,13/08/2022,"Dill, hyd. Dukat, Full-Size",Dill,29/06/2022,23/09/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,29/06/2022,15/10/2022,"Celery, hyd. Early Bell, Full-Size",Celery,03/08/2022,02/10/2022,"Celery, hyd. Early Bell, Full-Size",Celery,15/09/2022,28/11/2022,"Celery, hyd. Early Bell, Full-Size",Celery,29/11/2022,18/04/2023,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,3,,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,15/12/2021,07/03/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,21/02/2022,11/05/2022,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,04/08/2022,19/09/2022,"Cress, hyd. גרגר הנחלים, Full-Size",Cress,12/09/2022,28/10/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,29/11/2022,24/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,4,,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,10/11/2021,06/01/2022,"Lettuce, Butterhead, hyd. סלנובה אדומה, Full-Size",Lettuce,10/11/2021,03/01/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,30/12/2021,28/03/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,30/03/2022,30/05/2022,"Lettuce, Romaine, hyd. רומית - מגנום, Full-Size",Lettuce,26/06/2022,21/08/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,18/08/2022,12/10/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,11/10/2022,02/12/2022,"Lettuce, Iceberg, hyd. אייסברג, Full-Size",Lettuce,15/12/2022,02/02/2023,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,5,,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,30/12/2021,26/03/2022,"Lettuce, Romaine, hyd. רומית, Mini Head",Lettuce,31/03/2022,31/05/2022,"Lettuce, Romaine, hyd. רומית - מגנום, Mini Head",Lettuce,26/06/2022,14/08/2022,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,18/08/2022,12/10/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,11/10/2022,02/12/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,26/10/2022,15/12/2022,"Parsley, hyd. Borjo, Full-Size",Parsley,21/12/2022,19/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,6,,"Lettuce, Romaine, hyd. רומית, Full-Size",Lettuce,30/12/2021,28/03/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,23/03/2022,28/05/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,26/06/2022,17/08/2022,"Lettuce, Butterhead, hyd. סלנובה, Full-Size",Lettuce,06/07/2022,05/09/2022,"Lettuce, Bibb, hyd. לאליק, Full-Size",Lettuce,12/10/2022,03/01/2023,"Celery, hyd. Early Bell, Full-Size",Celery,21/12/2022,10/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,7,,"Cilantro, hyd. Santoriny, Leaf",Cilantro,03/02/2022,10/06/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,06/07/2022,05/09/2022,"Basil, hyd. Prospera, Full-Size",Basil,01/08/2022,11/10/2022,"Celery, hyd. Early Bell, Full-Size",Celery,12/10/2022,02/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,8,,"Cilantro, hyd. Santoriny, Leaf",Cilantro,21/10/2021,22/02/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,23/11/2021,30/03/2022,"Cilantro, hyd. Santoriny, Leaf",Cilantro,03/02/2022,10/06/2022,"Lovage, hyd. Lovage, Full-Size",Lovage,26/05/2022,01/08/2022,"Chard, hyd. מונופולי - ראש, Full-Size",Chard,24/08/2022,18/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
