Category,Product Name,Unit,Total Qty Sold,Total Refunded Qty,Gross Sales,Net Sales,Shopify - Gross Sales,Online Store - Gross Sales,Offer Sheet - Gross Sales
ירק,ריג׳לה,bn,24,0.0,,₪32.00,₪0.00,₪32.00,₪0.00
ירקות,חציל ארוך,kg,3,0.0,,₪30.00,₪0.00,₪20.00,₪10.00
ירקות,פלפל,kg,8,0.0,,₪15.00,₪0.00,₪15.00,₪0.00
תבלינים,קנה סוכר,ea,7,0.0,,₪12.00,₪0.00,₪12.00,₪0.00
ירקות,חציל,kg,1,0.0,,₪10.00,₪0.00,₪0.00,₪10.00
ירקות,ארטישוק,kg,2,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירק,בזיל,kg,1,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
פירות,גרגר פנמה,cs,5,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,דלעת,kg,7,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,דלעת יפנית,kg,2,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
תבלינים,יבשים - תערובת תה,cs,3,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
תבלינים,מורינגה,cs,2,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
פירות,מלון,kg,13,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,עגבניה שרי,cs,19,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
תבלינים,עלי גפן,cs,14,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
פירות,ענבים,kg,7,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,פלפל חריף,cs,1,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,קישוא - בהיר,kg,1,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,קישוא - זוקיני,kg,2,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,קישוא - מיוחד,kg,1,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
פירות,שלפח-גולדן ברי,cs,8,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
פירות,שלפח-גולדן ברי,kg,2,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,שעועית,cs,17,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
ירקות,שעועית,kg,2,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
תבלינים,תבלין - מליסה,bn,8,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
תבלינים,תבלין - שיבא,bu,9,0.0,,₪0.00,₪0.00,₪0.00,₪0.00
